Project ID,Milestone ID,Milestone Name,Planned Date,Actual Date,Completion Status,Associated Task ID
PRJ_004,MLS_0037,Milestone Completion of Task 69,2023-01-26,2023-02-07,Delayed,TSK_004_69
PRJ_004,MLS_0038,Milestone Completion of Task 79,2023-01-29,2023-01-25,Pending,TSK_004_79
PRJ_004,MLS_0039,Milestone Completion of Task 89,2023-02-01,2023-02-07,Delayed,TSK_004_89
PRJ_004,MLS_0040,Milestone Completion of Task 99,2023-02-04,2023-02-04,Pending,TSK_004_99
PRJ_005,MLS_0041,Milestone Completion of Task 9,2023-01-08,2023-01-23,Delayed,TSK_005_09
PRJ_005,MLS_0042,Milestone Completion of Task 19,2023-01-11,2023-01-26,Delayed,TSK_005_19
PRJ_005,MLS_0043,Milestone Completion of Task 29,2023-01-14,2023-01-10,Completed,TSK_005_29
PRJ_005,MLS_0044,Milestone Completion of Task 39,2023-01-17,2023-01-26,Delayed,TSK_005_39
PRJ_005,MLS_0045,Milestone Completion of Task 49,2023-01-20,2023-01-16,Completed,TSK_005_49
PRJ_005,MLS_0046,Milestone Completion of Task 59,2023-01-23,2023-01-23,Pending,TSK_005_59
PRJ_005,MLS_0047,Milestone Completion of Task 69,2023-01-26,2023-02-10,Delayed,TSK_005_69
PRJ_005,MLS_0048,Milestone Completion of Task 79,2023-01-29,2023-01-25,Pending,TSK_005_79
PRJ_005,MLS_0049,Milestone Completion of Task 89,2023-02-01,2023-02-16,Delayed,TSK_005_89
PRJ_005,MLS_0050,Milestone Completion of Task 99,2023-02-04,2023-01-31,Pending,TSK_005_99
PRJ_006,MLS_0051,Milestone Completion of Task 9,2023-01-08,2023-01-04,Completed,TSK_006_09
PRJ_006,MLS_0052,Milestone Completion of Task 19,2023-01-11,2023-01-07,Completed,TSK_006_19
PRJ_006,MLS_0053,Milestone Completion of Task 29,2023-01-14,2023-01-14,Completed,TSK_006_29
PRJ_006,MLS_0054,Milestone Completion of Task 39,2023-01-17,2023-01-13,Completed,TSK_006_39
PRJ_006,MLS_0055,Milestone Completion of Task 49,2023-01-20,2023-01-31,Delayed,TSK_006_49
PRJ_006,MLS_0056,Milestone Completion of Task 59,2023-01-23,2023-01-27,Delayed,TSK_006_59
PRJ_006,MLS_0057,Milestone Completion of Task 69,2023-01-26,2023-01-30,Delayed,TSK_006_69
PRJ_006,MLS_0058,Milestone Completion of Task 79,2023-01-29,2023-01-25,Pending,TSK_006_79
PRJ_006,MLS_0059,Milestone Completion of Task 89,2023-02-01,2023-02-01,Pending,TSK_006_89
PRJ_006,MLS_0060,Milestone Completion of Task 99,2023-02-04,2023-02-06,Delayed,TSK_006_99
PRJ_007,MLS_0061,Milestone Completion of Task 9,2023-01-08,2023-01-11,Completed,TSK_007_09
PRJ_007,MLS_0062,Milestone Completion of Task 19,2023-01-11,2023-01-19,Completed,TSK_007_19
PRJ_007,MLS_0063,Milestone Completion of Task 29,2023-01-14,2023-01-20,Completed,TSK_007_29
PRJ_007,MLS_0064,Milestone Completion of Task 39,2023-01-17,2023-01-14,Completed,TSK_007_39
PRJ_007,MLS_0065,Milestone Completion of Task 49,2023-01-20,2023-01-16,Completed,TSK_007_49
PRJ_007,MLS_0066,Milestone Completion of Task 59,2023-01-23,2023-01-19,Completed,TSK_007_59
PRJ_007,MLS_0067,Milestone Completion of Task 69,2023-01-26,2023-02-07,Delayed,TSK_007_69
PRJ_007,MLS_0068,Milestone Completion of Task 79,2023-01-29,2023-01-25,Pending,TSK_007_79
PRJ_007,MLS_0069,Milestone Completion of Task 89,2023-02-01,2023-02-09,Delayed,TSK_007_89
PRJ_007,MLS_0070,Milestone Completion of Task 99,2023-02-04,2023-01-31,Pending,TSK_007_99
PRJ_008,MLS_0071,Milestone Completion of Task 9,2023-01-08,2023-01-04,Completed,TSK_008_09
PRJ_008,MLS_0072,Milestone Completion of Task 19,2023-01-11,2023-01-09,Completed,TSK_008_19
PRJ_008,MLS_0073,Milestone Completion of Task 29,2023-01-14,2023-01-24,Delayed,TSK_008_29
PRJ_008,MLS_0074,Milestone Completion of Task 39,2023-01-17,2023-01-13,Completed,TSK_008_39
PRJ_008,MLS_0075,Milestone Completion of Task 49,2023-01-20,2023-01-16,Completed,TSK_008_49
PRJ_008,MLS_0076,Milestone Completion of Task 59,2023-01-23,2023-02-07,Delayed,TSK_008_59
PRJ_008,MLS_0077,Milestone Completion of Task 69,2023-01-26,2023-01-22,Completed,TSK_008_69
PRJ_008,MLS_0078,Milestone Completion of Task 79,2023-01-29,2023-02-03,Delayed,TSK_008_79
PRJ_008,MLS_0079,Milestone Completion of Task 89,2023-02-01,2023-02-01,Pending,TSK_008_89
PRJ_008,MLS_0080,Milestone Completion of Task 99,2023-02-04,2023-01-31,Pending,TSK_008_99
PRJ_009,MLS_0081,Milestone Completion of Task 9,2023-01-08,2023-01-16,Completed,TSK_009_09
PRJ_009,MLS_0082,Milestone Completion of Task 19,2023-01-11,2023-01-26,Delayed,TSK_009_19
PRJ_009,MLS_0083,Milestone Completion of Task 29,2023-01-14,2023-01-10,Completed,TSK_009_29
PRJ_009,MLS_0084,Milestone Completion of Task 39,2023-01-17,2023-01-13,Completed,TSK_009_39
PRJ_009,MLS_0085,Milestone Completion of Task 49,2023-01-20,2023-01-16,Completed,TSK_009_49
PRJ_009,MLS_0086,Milestone Completion of Task 59,2023-01-23,2023-01-23,Pending,TSK_009_59
PRJ_009,MLS_0087,Milestone Completion of Task 69,2023-01-26,2023-01-22,Completed,TSK_009_69
PRJ_009,MLS_0088,Milestone Completion of Task 79,2023-01-29,2023-01-25,Pending,TSK_009_79
PRJ_009,MLS_0089,Milestone Completion of Task 89,2023-02-01,2023-01-28,Pending,TSK_009_89
PRJ_009,MLS_0090,Milestone Completion of Task 99,2023-02-04,2023-02-19,Delayed,TSK_009_99
PRJ_010,MLS_0091,Milestone Completion of Task 9,2023-01-08,2023-01-20,Completed,TSK_010_09
PRJ_010,MLS_0092,Milestone Completion of Task 19,2023-01-11,2023-01-07,Completed,TSK_010_19
PRJ_010,MLS_0093,Milestone Completion of Task 29,2023-01-14,2023-01-20,Completed,TSK_010_29
PRJ_010,MLS_0094,Milestone Completion of Task 39,2023-01-17,2023-01-18,Completed,TSK_010_39
PRJ_010,MLS_0095,Milestone Completion of Task 49,2023-01-20,2023-01-26,Delayed,TSK_010_49
PRJ_010,MLS_0096,Milestone Completion of Task 59,2023-01-23,2023-01-23,Pending,TSK_010_59
PRJ_010,MLS_0097,Milestone Completion of Task 69,2023-01-26,2023-01-23,Pending,TSK_010_69
PRJ_010,MLS_0098,Milestone Completion of Task 79,2023-01-29,2023-02-02,Delayed,TSK_010_79
PRJ_010,MLS_0099,Milestone Completion of Task 89,2023-02-01,2023-02-01,Pending,TSK_010_89
PRJ_010,MLS_0100,Milestone Completion of Task 99,2023-02-04,2023-01-31,Pending,TSK_010_99
PRJ_011,MLS_0101,Milestone Completion of Task 9,2023-01-08,2023-01-13,Completed,TSK_011_09
PRJ_011,MLS_0102,Milestone Completion of Task 19,2023-01-11,2023-01-21,Completed,TSK_011_19
PRJ_011,MLS_0103,Milestone Completion of Task 29,2023-01-14,2023-01-19,Completed,TSK_011_29
PRJ_011,MLS_0104,Milestone Completion of Task 39,2023-01-17,2023-02-01,Delayed,TSK_011_39
PRJ_011,MLS_0105,Milestone Completion of Task 49,2023-01-20,2023-01-18,Completed,TSK_011_49
PRJ_011,MLS_0106,Milestone Completion of Task 59,2023-01-23,2023-01-19,Completed,TSK_011_59
PRJ_011,MLS_0107,Milestone Completion of Task 69,2023-01-26,2023-01-22,Completed,TSK_011_69
PRJ_011,MLS_0108,Milestone Completion of Task 79,2023-01-29,2023-01-25,Pending,TSK_011_79
PRJ_011,MLS_0109,Milestone Completion of Task 89,2023-02-01,2023-02-01,Pending,TSK_011_89
PRJ_011,MLS_0110,Milestone Completion of Task 99,2023-02-04,2023-02-06,Delayed,TSK_011_99
PRJ_012,MLS_0111,Milestone Completion of Task 9,2023-01-08,2023-01-13,Completed,TSK_012_09
PRJ_012,MLS_0112,Milestone Completion of Task 19,2023-01-11,2023-01-26,Delayed,TSK_012_19
PRJ_012,MLS_0113,Milestone Completion of Task 29,2023-01-14,2023-01-29,Delayed,TSK_012_29
PRJ_012,MLS_0114,Milestone Completion of Task 39,2023-01-17,2023-01-15,Completed,TSK_012_39
PRJ_012,MLS_0115,Milestone Completion of Task 49,2023-01-20,2023-01-20,Completed,TSK_012_49
PRJ_012,MLS_0116,Milestone Completion of Task 59,2023-01-23,2023-01-19,Completed,TSK_012_59
PRJ_012,MLS_0117,Milestone Completion of Task 69,2023-01-26,2023-01-31,Delayed,TSK_012_69
PRJ_012,MLS_0118,Milestone Completion of Task 79,2023-01-29,2023-01-25,Pending,TSK_012_79
PRJ_012,MLS_0119,Milestone Completion of Task 89,2023-02-01,2023-02-16,Delayed,TSK_012_89
PRJ_012,MLS_0120,Milestone Completion of Task 99,2023-02-04,2023-01-31,Pending,TSK_012_99
PRJ_013,MLS_0121,Milestone Completion of Task 9,2023-01-08,2023-01-23,Delayed,TSK_013_09
PRJ_013,MLS_0122,Milestone Completion of Task 19,2023-01-11,2023-01-07,Completed,TSK_013_19
PRJ_013,MLS_0123,Milestone Completion of Task 29,2023-01-14,2023-01-14,Completed,TSK_013_29
PRJ_013,MLS_0124,Milestone Completion of Task 39,2023-01-17,2023-02-01,Delayed,TSK_013_39
PRJ_013,MLS_0125,Milestone Completion of Task 49,2023-01-20,2023-01-24,Delayed,TSK_013_49
PRJ_013,MLS_0126,Milestone Completion of Task 59,2023-01-23,2023-01-23,Pending,TSK_013_59
PRJ_013,MLS_0127,Milestone Completion of Task 69,2023-01-26,2023-01-26,Pending,TSK_013_69
PRJ_013,MLS_0128,Milestone Completion of Task 79,2023-01-29,2023-02-06,Delayed,TSK_013_79
PRJ_013,MLS_0129,Milestone Completion of Task 89,2023-02-01,2023-02-16,Delayed,TSK_013_89
PRJ_013,MLS_0130,Milestone Completion of Task 99,2023-02-04,2023-01-31,Pending,TSK_013_99
PRJ_014,MLS_0131,Milestone Completion of Task 9,2023-01-08,2023-01-23,Delayed,TSK_014_09
PRJ_014,MLS_0132,Milestone Completion of Task 19,2023-01-11,2023-01-07,Completed,TSK_014_19
PRJ_014,MLS_0133,Milestone Completion of Task 29,2023-01-14,2023-01-29,Delayed,TSK_014_29
PRJ_014,MLS_0134,Milestone Completion of Task 39,2023-01-17,2023-01-17,Completed,TSK_014_39
PRJ_014,MLS_0135,Milestone Completion of Task 49,2023-01-20,2023-02-04,Delayed,TSK_014_49
PRJ_014,MLS_0136,Milestone Completion of Task 59,2023-01-23,2023-01-19,Completed,TSK_014_59
PRJ_014,MLS_0137,Milestone Completion of Task 69,2023-01-26,2023-01-22,Completed,TSK_014_69
PRJ_014,MLS_0138,Milestone Completion of Task 79,2023-01-29,2023-01-29,Pending,TSK_014_79
PRJ_014,MLS_0139,Milestone Completion of Task 89,2023-02-01,2023-01-28,Pending,TSK_014_89
PRJ_014,MLS_0140,Milestone Completion of Task 99,2023-02-04,2023-02-04,Pending,TSK_014_99
PRJ_015,MLS_0141,Milestone Completion of Task 9,2023-01-08,2023-01-04,Completed,TSK_015_09
PRJ_015,MLS_0142,Milestone Completion of Task 19,2023-01-11,2023-01-07,Completed,TSK_015_19
PRJ_015,MLS_0143,Milestone Completion of Task 29,2023-01-14,2023-01-10,Completed,TSK_015_29
PRJ_015,MLS_0144,Milestone Completion of Task 39,2023-01-17,2023-01-17,Completed,TSK_015_39
PRJ_015,MLS_0145,Milestone Completion of Task 49,2023-01-20,2023-02-01,Delayed,TSK_015_49
PRJ_015,MLS_0146,Milestone Completion of Task 59,2023-01-23,2023-01-25,Delayed,TSK_015_59
PRJ_015,MLS_0147,Milestone Completion of Task 69,2023-01-26,2023-01-22,Completed,TSK_015_69
PRJ_015,MLS_0148,Milestone Completion of Task 79,2023-01-29,2023-01-25,Pending,TSK_015_79
PRJ_015,MLS_0149,Milestone Completion of Task 89,2023-02-01,2023-02-16,Delayed,TSK_015_89
PRJ_015,MLS_0150,Milestone Completion of Task 99,2023-02-04,2023-01-31,Pending,TSK_015_99
PRJ_016,MLS_0151,Milestone Completion of Task 9,2023-01-09,2023-01-05,Completed,TSK_016_09
PRJ_016,MLS_0152,Milestone Completion of Task 19,2023-01-12,2023-01-08,Completed,TSK_016_19
PRJ_016,MLS_0153,Milestone Completion of Task 29,2023-01-15,2023-01-11,Completed,TSK_016_29
PRJ_016,MLS_0154,Milestone Completion of Task 39,2023-01-18,2023-01-14,Completed,TSK_016_39
PRJ_016,MLS_0155,Milestone Completion of Task 49,2023-01-21,2023-02-05,Delayed,TSK_016_49
PRJ_016,MLS_0156,Milestone Completion of Task 59,2023-01-24,2023-02-08,Delayed,TSK_016_59
PRJ_016,MLS_0157,Milestone Completion of Task 69,2023-01-27,2023-02-11,Delayed,TSK_016_69
PRJ_016,MLS_0158,Milestone Completion of Task 79,2023-01-30,2023-01-26,Pending,TSK_016_79
PRJ_016,MLS_0159,Milestone Completion of Task 89,2023-02-02,2023-01-29,Pending,TSK_016_89
PRJ_016,MLS_0160,Milestone Completion of Task 99,2023-02-05,2023-02-20,Delayed,TSK_016_99
PRJ_017,MLS_0161,Milestone Completion of Task 9,2023-01-09,2023-01-05,Completed,TSK_017_09
PRJ_017,MLS_0162,Milestone Completion of Task 19,2023-01-12,2023-01-08,Completed,TSK_017_19
PRJ_017,MLS_0163,Milestone Completion of Task 29,2023-01-15,2023-01-11,Completed,TSK_017_29
PRJ_017,MLS_0164,Milestone Completion of Task 39,2023-01-18,2023-02-02,Delayed,TSK_017_39
PRJ_017,MLS_0165,Milestone Completion of Task 49,2023-01-21,2023-01-17,Completed,TSK_017_49
PRJ_017,MLS_0166,Milestone Completion of Task 59,2023-01-24,2023-02-08,Delayed,TSK_017_59
PRJ_017,MLS_0167,Milestone Completion of Task 69,2023-01-27,2023-01-23,Pending,TSK_017_69
PRJ_017,MLS_0168,Milestone Completion of Task 79,2023-01-30,2023-02-14,Delayed,TSK_017_79
PRJ_017,MLS_0169,Milestone Completion of Task 89,2023-02-02,2023-02-17,Delayed,TSK_017_89
PRJ_017,MLS_0170,Milestone Completion of Task 99,2023-02-05,2023-02-05,Pending,TSK_017_99
PRJ_018,MLS_0171,Milestone Completion of Task 9,2023-01-09,2023-01-21,Completed,TSK_018_09
PRJ_018,MLS_0172,Milestone Completion of Task 19,2023-01-12,2023-01-27,Delayed,TSK_018_19
PRJ_018,MLS_0173,Milestone Completion of Task 29,2023-01-15,2023-01-30,Delayed,TSK_018_29
PRJ_018,MLS_0174,Milestone Completion of Task 39,2023-01-18,2023-01-16,Completed,TSK_018_39
PRJ_018,MLS_0175,Milestone Completion of Task 49,2023-01-21,2023-02-05,Delayed,TSK_018_49
PRJ_018,MLS_0176,Milestone Completion of Task 59,2023-01-24,2023-02-08,Delayed,TSK_018_59
PRJ_018,MLS_0177,Milestone Completion of Task 69,2023-01-27,2023-02-06,Delayed,TSK_018_69
PRJ_018,MLS_0178,Milestone Completion of Task 79,2023-01-30,2023-02-14,Delayed,TSK_018_79
PRJ_018,MLS_0179,Milestone Completion of Task 89,2023-02-02,2023-02-09,Delayed,TSK_018_89
PRJ_018,MLS_0180,Milestone Completion of Task 99,2023-02-05,2023-02-01,Pending,TSK_018_99
PRJ_019,MLS_0181,Milestone Completion of Task 9,2023-01-09,2023-01-24,Delayed,TSK_019_09
PRJ_019,MLS_0182,Milestone Completion of Task 19,2023-01-12,2023-01-17,Completed,TSK_019_19
PRJ_019,MLS_0183,Milestone Completion of Task 29,2023-01-15,2023-01-11,Completed,TSK_019_29
PRJ_019,MLS_0184,Milestone Completion of Task 39,2023-01-18,2023-01-18,Completed,TSK_019_39
PRJ_019,MLS_0185,Milestone Completion of Task 49,2023-01-21,2023-01-17,Completed,TSK_019_49
PRJ_019,MLS_0186,Milestone Completion of Task 59,2023-01-24,2023-01-20,Completed,TSK_019_59
PRJ_019,MLS_0187,Milestone Completion of Task 69,2023-01-27,2023-02-11,Delayed,TSK_019_69
PRJ_019,MLS_0188,Milestone Completion of Task 79,2023-01-30,2023-02-06,Delayed,TSK_019_79
PRJ_019,MLS_0189,Milestone Completion of Task 89,2023-02-02,2023-01-29,Pending,TSK_019_89
PRJ_019,MLS_0190,Milestone Completion of Task 99,2023-02-05,2023-02-01,Pending,TSK_019_99
PRJ_020,MLS_0191,Milestone Completion of Task 9,2023-01-09,2023-01-05,Completed,TSK_020_09
PRJ_020,MLS_0192,Milestone Completion of Task 19,2023-01-12,2023-01-09,Completed,TSK_020_19
PRJ_020,MLS_0193,Milestone Completion of Task 29,2023-01-15,2023-01-22,Completed,TSK_020_29
PRJ_020,MLS_0194,Milestone Completion of Task 39,2023-01-18,2023-01-27,Delayed,TSK_020_39
PRJ_020,MLS_0195,Milestone Completion of Task 49,2023-01-21,2023-01-17,Completed,TSK_020_49
PRJ_020,MLS_0196,Milestone Completion of Task 59,2023-01-24,2023-01-31,Delayed,TSK_020_59
PRJ_020,MLS_0197,Milestone Completion of Task 69,2023-01-27,2023-02-05,Delayed,TSK_020_69
PRJ_020,MLS_0198,Milestone Completion of Task 79,2023-01-30,2023-01-29,Pending,TSK_020_79
PRJ_020,MLS_0199,Milestone Completion of Task 89,2023-02-02,2023-02-08,Delayed,TSK_020_89
PRJ_020,MLS_0200,Milestone Completion of Task 99,2023-02-05,2023-02-01,Pending,TSK_020_99
PRJ_021,MLS_0201,Milestone Completion of Task 9,2023-01-09,2023-01-05,Completed,TSK_021_09
PRJ_021,MLS_0202,Milestone Completion of Task 19,2023-01-12,2023-01-27,Delayed,TSK_021_19
PRJ_021,MLS_0203,Milestone Completion of Task 29,2023-01-15,2023-01-30,Delayed,TSK_021_29
PRJ_021,MLS_0204,Milestone Completion of Task 39,2023-01-18,2023-01-18,Completed,TSK_021_39
PRJ_021,MLS_0205,Milestone Completion of Task 49,2023-01-21,2023-02-05,Delayed,TSK_021_49
PRJ_021,MLS_0206,Milestone Completion of Task 59,2023-01-24,2023-02-03,Delayed,TSK_021_59
PRJ_021,MLS_0207,Milestone Completion of Task 69,2023-01-27,2023-01-23,Pending,TSK_021_69
PRJ_021,MLS_0208,Milestone Completion of Task 79,2023-01-30,2023-02-01,Delayed,TSK_021_79
PRJ_021,MLS_0209,Milestone Completion of Task 89,2023-02-02,2023-02-12,Delayed,TSK_021_89
PRJ_021,MLS_0210,Milestone Completion of Task 99,2023-02-05,2023-02-10,Delayed,TSK_021_99
PRJ_022,MLS_0211,Milestone Completion of Task 9,2023-01-09,2023-01-19,Completed,TSK_022_09
PRJ_022,MLS_0212,Milestone Completion of Task 19,2023-01-12,2023-01-08,Completed,TSK_022_19
PRJ_022,MLS_0213,Milestone Completion of Task 29,2023-01-15,2023-01-15,Completed,TSK_022_29
PRJ_022,MLS_0214,Milestone Completion of Task 39,2023-01-18,2023-02-02,Delayed,TSK_022_39
PRJ_022,MLS_0215,Milestone Completion of Task 49,2023-01-21,2023-01-17,Completed,TSK_022_49
PRJ_022,MLS_0216,Milestone Completion of Task 59,2023-01-24,2023-02-03,Delayed,TSK_022_59
PRJ_022,MLS_0217,Milestone Completion of Task 69,2023-01-27,2023-01-23,Pending,TSK_022_69
PRJ_022,MLS_0218,Milestone Completion of Task 79,2023-01-30,2023-01-26,Pending,TSK_022_79
PRJ_022,MLS_0219,Milestone Completion of Task 89,2023-02-02,2023-01-29,Pending,TSK_022_89
PRJ_022,MLS_0220,Milestone Completion of Task 99,2023-02-05,2023-02-20,Delayed,TSK_022_99
PRJ_023,MLS_0221,Milestone Completion of Task 9,2023-01-09,2023-01-24,Delayed,TSK_023_09
PRJ_023,MLS_0222,Milestone Completion of Task 19,2023-01-12,2023-01-08,Completed,TSK_023_19
PRJ_023,MLS_0223,Milestone Completion of Task 29,2023-01-15,2023-01-11,Completed,TSK_023_29
PRJ_023,MLS_0224,Milestone Completion of Task 39,2023-01-18,2023-01-14,Completed,TSK_023_39
PRJ_023,MLS_0225,Milestone Completion of Task 49,2023-01-21,2023-02-05,Delayed,TSK_023_49
PRJ_023,MLS_0226,Milestone Completion of Task 59,2023-01-24,2023-01-24,Pending,TSK_023_59
PRJ_023,MLS_0227,Milestone Completion of Task 69,2023-01-27,2023-01-23,Pending,TSK_023_69
PRJ_023,MLS_0228,Milestone Completion of Task 79,2023-01-30,2023-02-09,Delayed,TSK_023_79
PRJ_023,MLS_0229,Milestone Completion of Task 89,2023-02-02,2023-01-29,Pending,TSK_023_89
PRJ_023,MLS_0230,Milestone Completion of Task 99,2023-02-05,2023-02-15,Delayed,TSK_023_99
PRJ_024,MLS_0231,Milestone Completion of Task 9,2023-01-09,2023-01-16,Completed,TSK_024_09
PRJ_024,MLS_0232,Milestone Completion of Task 19,2023-01-12,2023-01-08,Completed,TSK_024_19
PRJ_024,MLS_0233,Milestone Completion of Task 29,2023-01-15,2023-01-25,Delayed,TSK_024_29
PRJ_024,MLS_0234,Milestone Completion of Task 39,2023-01-18,2023-01-30,Delayed,TSK_024_39
PRJ_024,MLS_0235,Milestone Completion of Task 49,2023-01-21,2023-01-31,Delayed,TSK_024_49
PRJ_024,MLS_0236,Milestone Completion of Task 59,2023-01-24,2023-01-22,Completed,TSK_024_59
PRJ_024,MLS_0237,Milestone Completion of Task 69,2023-01-27,2023-01-23,Pending,TSK_024_69
PRJ_024,MLS_0238,Milestone Completion of Task 79,2023-01-30,2023-02-14,Delayed,TSK_024_79
PRJ_024,MLS_0239,Milestone Completion of Task 89,2023-02-02,2023-02-14,Delayed,TSK_024_89
PRJ_024,MLS_0240,Milestone Completion of Task 99,2023-02-05,2023-02-01,Pending,TSK_024_99
PRJ_025,MLS_0241,Milestone Completion of Task 9,2023-01-09,2023-01-05,Completed,TSK_025_09
PRJ_025,MLS_0242,Milestone Completion of Task 19,2023-01-12,2023-01-24,Delayed,TSK_025_19
PRJ_025,MLS_0243,Milestone Completion of Task 29,2023-01-15,2023-01-25,Delayed,TSK_025_29
PRJ_025,MLS_0244,Milestone Completion of Task 39,2023-01-18,2023-01-14,Completed,TSK_025_39
PRJ_025,MLS_0245,Milestone Completion of Task 49,2023-01-21,2023-01-17,Completed,TSK_025_49
PRJ_025,MLS_0246,Milestone Completion of Task 59,2023-01-24,2023-01-20,Completed,TSK_025_59
PRJ_025,MLS_0247,Milestone Completion of Task 69,2023-01-27,2023-02-06,Delayed,TSK_025_69
PRJ_025,MLS_0248,Milestone Completion of Task 79,2023-01-30,2023-01-26,Pending,TSK_025_79
PRJ_025,MLS_0249,Milestone Completion of Task 89,2023-02-02,2023-02-07,Delayed,TSK_025_89
PRJ_025,MLS_0250,Milestone Completion of Task 99,2023-02-05,2023-02-01,Pending,TSK_025_99
PRJ_026,MLS_0251,Milestone Completion of Task 9,2023-01-09,2023-01-09,Completed,TSK_026_09
PRJ_026,MLS_0252,Milestone Completion of Task 19,2023-01-12,2023-01-08,Completed,TSK_026_19
PRJ_026,MLS_0253,Milestone Completion of Task 29,2023-01-15,2023-01-11,Completed,TSK_026_29
PRJ_026,MLS_0254,Milestone Completion of Task 39,2023-01-18,2023-02-02,Delayed,TSK_026_39
PRJ_026,MLS_0255,Milestone Completion of Task 49,2023-01-21,2023-01-26,Delayed,TSK_026_49
PRJ_026,MLS_0256,Milestone Completion of Task 59,2023-01-24,2023-02-08,Delayed,TSK_026_59
PRJ_026,MLS_0257,Milestone Completion of Task 69,2023-01-27,2023-02-08,Delayed,TSK_026_69
PRJ_026,MLS_0258,Milestone Completion of Task 79,2023-01-30,2023-01-26,Pending,TSK_026_79
PRJ_026,MLS_0259,Milestone Completion of Task 89,2023-02-02,2023-01-29,Pending,TSK_026_89
PRJ_026,MLS_0260,Milestone Completion of Task 99,2023-02-05,2023-02-01,Pending,TSK_026_99
