Project ID,Task ID,Task Name,WBS Level,Task Category,Planned Start Date,Planned End Date,Actual Start Date,Actual End Date,Task Status,Planned Progress (%),Actual Progress (%),Task Duration,Actual Duration,Remaining Duration,Task Dependency,Critical Path,Task Priority
PRJ_001,TSK_001_14,Task Finishing - 14,3,Finishing,2023-01-05,2023-01-10,2023-01-03,2023-01-06,Completed,100.0,100.0,5,3,0,TSK_001_13,Yes,Low
PRJ_001,TSK_001_15,Task MEP - 15,3,MEP,2023-01-05,2023-01-10,2023-01-03,2023-01-06,Completed,100.0,100.0,5,3,0,TSK_001_14,Yes,High
PRJ_001,TSK_001_16,Task Excavation - 16,3,Excavation,2023-01-05,2023-01-10,2023-01-07,2023-01-15,Completed,100.0,100.0,5,8,0,TSK_001_15,No,Medium
PRJ_001,TSK_001_17,Task Excavation - 17,2,Excavation,2023-01-06,2023-01-11,2023-01-04,2023-01-07,Completed,100.0,100.0,5,3,0,TSK_001_16,No,Medium
PRJ_001,TSK_001_18,Task Finishing - 18,2,Finishing,2023-01-06,2023-01-11,2023-01-04,2023-01-07,Completed,100.0,100.0,5,3,0,TSK_001_17,Yes,High
PRJ_001,TSK_001_19,Task Foundation - 19,3,Foundation,2023-01-06,2023-01-11,2023-01-11,2023-01-21,Completed,100.0,100.0,5,10,0,TSK_001_18,No,High
PRJ_001,TSK_001_20,Task Excavation - 20,1,Excavation,2023-01-07,2023-01-12,2023-01-05,2023-01-08,Completed,100.0,100.0,5,3,0,TSK_001_19,No,Critical
PRJ_001,TSK_001_21,Task Finishing - 21,1,Finishing,2023-01-07,2023-01-12,2023-01-08,2023-01-14,Completed,100.0,100.0,5,6,0,TSK_001_20,Yes,High
PRJ_001,TSK_001_22,Task Excavation - 22,3,Excavation,2023-01-07,2023-01-12,2023-01-07,2023-01-12,Completed,100.0,100.0,5,5,0,TSK_001_21,No,High
PRJ_001,TSK_001_23,Task Finishing - 23,1,Finishing,2023-01-07,2023-01-12,2023-01-08,2023-01-14,Completed,100.0,100.0,5,6,0,TSK_001_22,Yes,Low
PRJ_001,TSK_001_24,Task MEP - 24,2,MEP,2023-01-08,2023-01-13,2023-01-06,2023-01-09,Completed,100.0,100.0,5,3,0,TSK_001_23,Yes,High
PRJ_001,TSK_001_25,Task Foundation - 25,1,Foundation,2023-01-08,2023-01-13,2023-01-08,2023-01-13,Completed,100.0,100.0,5,5,0,TSK_001_24,No,Critical
PRJ_001,TSK_001_26,Task MEP - 26,2,MEP,2023-01-08,2023-01-13,2023-01-06,2023-01-09,Completed,100.0,100.0,5,3,0,TSK_001_25,No,Critical
PRJ_001,TSK_001_27,Task Foundation - 27,2,Foundation,2023-01-09,2023-01-14,2023-01-07,2023-01-10,Completed,100.0,100.0,5,3,0,TSK_001_26,Yes,Medium
PRJ_001,TSK_001_28,Task MEP - 28,2,MEP,2023-01-09,2023-01-14,2023-01-07,2023-01-10,Completed,100.0,100.0,5,3,0,TSK_001_27,No,Low
PRJ_001,TSK_001_29,Task Foundation - 29,2,Foundation,2023-01-09,2023-01-14,2023-01-07,2023-01-10,Completed,100.0,100.0,5,3,0,TSK_001_28,No,Low
PRJ_001,TSK_001_30,Task Foundation - 30,3,Foundation,2023-01-10,2023-01-15,2023-01-17,2023-01-30,In Progress,100.0,38.46,5,13,8,TSK_001_29,Yes,Critical
PRJ_001,TSK_001_31,Task Finishing - 31,3,Finishing,2023-01-10,2023-01-15,2023-01-10,2023-01-15,Completed,100.0,100.0,5,5,0,TSK_001_30,Yes,Critical
PRJ_001,TSK_001_32,Task Finishing - 32,1,Finishing,2023-01-10,2023-01-15,2023-01-08,2023-01-11,Completed,100.0,100.0,5,3,0,TSK_001_31,Yes,Critical
PRJ_001,TSK_001_33,Task Finishing - 33,3,Finishing,2023-01-10,2023-01-15,2023-01-17,2023-01-30,In Progress,100.0,38.46,5,13,8,TSK_001_32,Yes,Critical
PRJ_001,TSK_001_34,Task Finishing - 34,2,Finishing,2023-01-11,2023-01-16,2023-01-09,2023-01-12,Completed,100.0,100.0,5,3,0,TSK_001_33,Yes,High
PRJ_001,TSK_001_35,Task Excavation - 35,2,Excavation,2023-01-11,2023-01-16,2023-01-11,2023-01-16,Completed,100.0,100.0,5,5,0,TSK_001_34,No,Low
PRJ_001,TSK_001_36,Task Finishing - 36,2,Finishing,2023-01-11,2023-01-16,2023-01-14,2023-01-23,In Progress,100.0,88.89,5,9,1,TSK_001_35,Yes,Critical
PRJ_001,TSK_001_37,Task MEP - 37,2,MEP,2023-01-12,2023-01-17,2023-01-11,2023-01-15,Completed,100.0,100.0,5,4,0,TSK_001_36,No,Medium
PRJ_001,TSK_001_38,Task Foundation - 38,2,Foundation,2023-01-12,2023-01-17,2023-01-12,2023-01-17,Completed,100.0,100.0,5,5,0,TSK_001_37,No,Medium
PRJ_001,TSK_001_39,Task Excavation - 39,2,Excavation,2023-01-12,2023-01-17,2023-01-12,2023-01-17,Completed,100.0,100.0,5,5,0,TSK_001_38,Yes,Critical
PRJ_001,TSK_001_40,Task Foundation - 40,3,Foundation,2023-01-13,2023-01-18,2023-01-11,2023-01-14,Completed,100.0,100.0,5,3,0,TSK_001_39,No,Low
PRJ_001,TSK_001_41,Task Foundation - 41,2,Foundation,2023-01-13,2023-01-18,2023-01-19,2023-01-30,In Progress,100.0,27.27,5,11,8,TSK_001_40,No,Medium
PRJ_001,TSK_001_42,Task Finishing - 42,2,Finishing,2023-01-13,2023-01-18,2023-01-11,2023-01-14,Completed,100.0,100.0,5,3,0,TSK_001_41,Yes,Critical
PRJ_001,TSK_001_43,Task Finishing - 43,2,Finishing,2023-01-13,2023-01-18,2023-01-13,2023-01-18,Completed,100.0,100.0,5,5,0,TSK_001_42,Yes,Medium
PRJ_001,TSK_001_44,Task Finishing - 44,2,Finishing,2023-01-14,2023-01-19,2023-01-12,2023-01-15,Completed,100.0,100.0,5,3,0,TSK_001_43,Yes,Critical
PRJ_001,TSK_001_45,Task Foundation - 45,3,Foundation,2023-01-14,2023-01-19,2023-01-17,2023-01-26,In Progress,100.0,55.56,5,9,4,TSK_001_44,Yes,High
PRJ_001,TSK_001_46,Task Excavation - 46,2,Excavation,2023-01-14,2023-01-19,2023-01-12,2023-01-15,Completed,100.0,100.0,5,3,0,TSK_001_45,No,Critical
PRJ_001,TSK_001_47,Task Foundation - 47,1,Foundation,2023-01-15,2023-01-20,2023-01-22,2023-02-04,In Progress,100.0,0.0,5,13,13,TSK_001_46,No,High
PRJ_001,TSK_001_48,Task Finishing - 48,1,Finishing,2023-01-15,2023-01-20,2023-01-13,2023-01-16,Completed,100.0,100.0,5,3,0,TSK_001_47,Yes,Medium
PRJ_001,TSK_001_49,Task MEP - 49,1,MEP,2023-01-15,2023-01-20,2023-01-13,2023-01-16,Completed,100.0,100.0,5,3,0,TSK_001_48,No,Critical
PRJ_001,TSK_001_50,Task Finishing - 50,3,Finishing,2023-01-16,2023-01-21,2023-01-14,2023-01-17,Completed,100.0,100.0,5,3,0,TSK_001_49,Yes,Medium
PRJ_001,TSK_001_51,Task Finishing - 51,2,Finishing,2023-01-16,2023-01-21,2023-01-21,2023-01-31,In Progress,100.0,10.0,5,10,9,TSK_001_50,Yes,Low
PRJ_001,TSK_001_52,Task Foundation - 52,1,Foundation,2023-01-16,2023-01-21,2023-01-21,2023-01-31,In Progress,100.0,10.0,5,10,9,TSK_001_51,No,Low
PRJ_001,TSK_001_53,Task Excavation - 53,1,Excavation,2023-01-16,2023-01-21,2023-01-14,2023-01-17,Completed,100.0,100.0,5,3,0,TSK_001_52,No,Low
PRJ_001,TSK_001_54,Task Foundation - 54,1,Foundation,2023-01-17,2023-01-22,2023-01-24,2023-02-06,Not Started,100.0,0.0,5,13,5,TSK_001_53,Yes,High
PRJ_001,TSK_001_55,Task MEP - 55,1,MEP,2023-01-17,2023-01-22,2023-01-18,2023-01-24,In Progress,100.0,66.67,5,6,2,TSK_001_54,No,Low
PRJ_001,TSK_001_56,Task Excavation - 56,1,Excavation,2023-01-17,2023-01-22,2023-01-16,2023-01-20,Completed,100.0,100.0,5,4,0,TSK_001_55,No,High
PRJ_001,TSK_001_57,Task Finishing - 57,1,Finishing,2023-01-18,2023-01-23,2023-01-16,2023-01-19,Completed,80.0,100.0,5,3,0,TSK_001_56,Yes,Critical
PRJ_001,TSK_001_58,Task Foundation - 58,3,Foundation,2023-01-18,2023-01-23,2023-01-16,2023-01-19,Completed,80.0,100.0,5,3,0,TSK_001_57,No,Critical
PRJ_001,TSK_001_59,Task MEP - 59,3,MEP,2023-01-18,2023-01-23,2023-01-18,2023-01-23,In Progress,80.0,80.0,5,5,1,TSK_001_58,No,High
PRJ_001,TSK_001_60,Task Finishing - 60,3,Finishing,2023-01-19,2023-01-24,2023-01-17,2023-01-20,Completed,60.0,100.0,5,3,0,TSK_001_59,Yes,Low
PRJ_001,TSK_001_61,Task Excavation - 61,1,Excavation,2023-01-19,2023-01-24,2023-01-25,2023-02-05,Not Started,60.0,0.0,5,11,5,TSK_001_60,No,High
PRJ_001,TSK_001_62,Task Finishing - 62,1,Finishing,2023-01-19,2023-01-24,2023-01-17,2023-01-20,Completed,60.0,100.0,5,3,0,TSK_001_61,Yes,High
PRJ_001,TSK_001_63,Task Excavation - 63,3,Excavation,2023-01-19,2023-01-24,2023-01-19,2023-01-24,In Progress,60.0,60.0,5,5,2,TSK_001_62,Yes,Medium
PRJ_001,TSK_001_64,Task Foundation - 64,1,Foundation,2023-01-20,2023-01-25,2023-01-18,2023-01-21,Completed,40.0,100.0,5,3,0,TSK_001_63,No,Medium
PRJ_001,TSK_001_65,Task MEP - 65,3,MEP,2023-01-20,2023-01-25,2023-01-18,2023-01-21,Completed,40.0,100.0,5,3,0,TSK_001_64,No,Critical
PRJ_001,TSK_001_66,Task Finishing - 66,2,Finishing,2023-01-20,2023-01-25,2023-01-25,2023-02-04,Not Started,40.0,0.0,5,10,5,TSK_001_65,Yes,Low
PRJ_001,TSK_001_67,Task MEP - 67,3,MEP,2023-01-21,2023-01-26,2023-01-21,2023-01-26,In Progress,20.0,20.0,5,5,4,TSK_001_66,No,Low
PRJ_001,TSK_001_68,Task Excavation - 68,2,Excavation,2023-01-21,2023-01-26,2023-01-19,2023-01-22,Completed,20.0,100.0,5,3,0,TSK_001_67,No,High
PRJ_001,TSK_001_69,Task MEP - 69,1,MEP,2023-01-21,2023-01-26,2023-01-26,2023-02-05,Not Started,20.0,0.0,5,10,5,TSK_001_68,Yes,Critical
PRJ_001,TSK_001_70,Task Finishing - 70,2,Finishing,2023-01-22,2023-01-27,2023-01-29,2023-02-11,Not Started,0.0,0.0,5,13,5,TSK_001_69,Yes,High
PRJ_001,TSK_001_71,Task Excavation - 71,3,Excavation,2023-01-22,2023-01-27,2023-01-21,2023-01-25,In Progress,0.0,25.0,5,4,3,TSK_001_70,No,High
PRJ_001,TSK_001_72,Task Foundation - 72,3,Foundation,2023-01-22,2023-01-27,2023-01-29,2023-02-11,Not Started,0.0,0.0,5,13,5,TSK_001_71,Yes,Low
PRJ_001,TSK_001_73,Task Finishing - 73,3,Finishing,2023-01-22,2023-01-27,2023-01-20,2023-01-23,In Progress,0.0,66.67,5,3,1,TSK_001_72,Yes,Low
PRJ_001,TSK_001_74,Task Finishing - 74,3,Finishing,2023-01-23,2023-01-28,2023-01-24,2023-01-30,Not Started,0.0,0.0,5,6,5,TSK_001_73,Yes,Medium
PRJ_001,TSK_001_75,Task Excavation - 75,1,Excavation,2023-01-23,2023-01-28,2023-01-30,2023-02-12,Not Started,0.0,0.0,5,13,5,TSK_001_74,Yes,Low
PRJ_001,TSK_001_76,Task Excavation - 76,3,Excavation,2023-01-23,2023-01-28,2023-01-21,2023-01-24,In Progress,0.0,33.33,5,3,2,TSK_001_75,No,Medium
PRJ_001,TSK_001_77,Task MEP - 77,2,MEP,2023-01-24,2023-01-29,2023-01-22,2023-01-25,In Progress,0.0,0.0,5,3,3,TSK_001_76,No,High
PRJ_001,TSK_001_78,Task Finishing - 78,3,Finishing,2023-01-24,2023-01-29,2023-01-22,2023-01-25,In Progress,0.0,0.0,5,3,3,TSK_001_77,Yes,High
PRJ_001,TSK_001_79,Task Finishing - 79,3,Finishing,2023-01-24,2023-01-29,2023-01-22,2023-01-25,In Progress,0.0,0.0,5,3,3,TSK_001_78,Yes,Low
PRJ_001,TSK_001_80,Task MEP - 80,2,MEP,2023-01-25,2023-01-30,2023-02-01,2023-02-14,Not Started,0.0,0.0,5,13,5,TSK_001_79,No,High
PRJ_001,TSK_001_81,Task MEP - 81,1,MEP,2023-01-25,2023-01-30,2023-01-23,2023-01-26,Not Started,0.0,0.0,5,3,5,TSK_001_80,Yes,Medium
PRJ_001,TSK_001_82,Task Foundation - 82,3,Foundation,2023-01-25,2023-01-30,2023-01-23,2023-01-26,Not Started,0.0,0.0,5,3,5,TSK_001_81,No,High
PRJ_001,TSK_001_83,Task Finishing - 83,3,Finishing,2023-01-25,2023-01-30,2023-01-28,2023-02-06,Not Started,0.0,0.0,5,9,5,TSK_001_82,Yes,Critical
PRJ_001,TSK_001_84,Task Finishing - 84,1,Finishing,2023-01-26,2023-01-31,2023-01-31,2023-02-10,Not Started,0.0,0.0,5,10,5,TSK_001_83,Yes,Low
PRJ_001,TSK_001_85,Task Excavation - 85,2,Excavation,2023-01-26,2023-01-31,2023-01-24,2023-01-27,Not Started,0.0,0.0,5,3,5,TSK_001_84,No,Critical
PRJ_001,TSK_001_86,Task MEP - 86,3,MEP,2023-01-26,2023-01-31,2023-02-02,2023-02-15,Not Started,0.0,0.0,5,13,5,TSK_001_85,No,Low
PRJ_001,TSK_001_87,Task Foundation - 87,1,Foundation,2023-01-27,2023-02-01,2023-01-25,2023-01-28,Not Started,0.0,0.0,5,3,5,TSK_001_86,Yes,High
PRJ_001,TSK_001_88,Task Finishing - 88,3,Finishing,2023-01-27,2023-02-01,2023-01-28,2023-02-03,Not Started,0.0,0.0,5,6,5,TSK_001_87,Yes,High
PRJ_001,TSK_001_89,Task Finishing - 89,1,Finishing,2023-01-27,2023-02-01,2023-01-25,2023-01-28,Not Started,0.0,0.0,5,3,5,TSK_001_88,Yes,Low
PRJ_001,TSK_001_90,Task Foundation - 90,3,Foundation,2023-01-28,2023-02-02,2023-02-04,2023-02-17,Not Started,0.0,0.0,5,13,5,TSK_001_89,Yes,Critical
PRJ_001,TSK_001_91,Task Excavation - 91,3,Excavation,2023-01-28,2023-02-02,2023-02-04,2023-02-17,Not Started,0.0,0.0,5,13,5,TSK_001_90,No,High
PRJ_001,TSK_001_92,Task Foundation - 92,2,Foundation,2023-01-28,2023-02-02,2023-01-26,2023-01-29,Not Started,0.0,0.0,5,3,5,TSK_001_91,No,Medium
PRJ_001,TSK_001_93,Task Excavation - 93,1,Excavation,2023-01-28,2023-02-02,2023-01-26,2023-01-29,Not Started,0.0,0.0,5,3,5,TSK_001_92,Yes,Medium
PRJ_001,TSK_001_94,Task Foundation - 94,1,Foundation,2023-01-29,2023-02-03,2023-01-27,2023-01-30,Not Started,0.0,0.0,5,3,5,TSK_001_93,No,Medium
PRJ_001,TSK_001_95,Task Foundation - 95,2,Foundation,2023-01-29,2023-02-03,2023-02-03,2023-02-13,Not Started,0.0,0.0,5,10,5,TSK_001_94,No,Low
PRJ_001,TSK_001_96,Task Excavation - 96,2,Excavation,2023-01-29,2023-02-03,2023-01-27,2023-01-30,Not Started,0.0,0.0,5,3,5,TSK_001_95,Yes,Critical
PRJ_001,TSK_001_97,Task MEP - 97,3,MEP,2023-01-30,2023-02-04,2023-01-28,2023-01-31,Not Started,0.0,0.0,5,3,5,TSK_001_96,No,Medium
PRJ_001,TSK_001_98,Task MEP - 98,2,MEP,2023-01-30,2023-02-04,2023-02-02,2023-02-11,Not Started,0.0,0.0,5,9,5,TSK_001_97,No,Critical
PRJ_001,TSK_001_99,Task MEP - 99,1,MEP,2023-01-30,2023-02-04,2023-02-06,2023-02-19,Not Started,0.0,0.0,5,13,5,TSK_001_98,Yes,High
PRJ_002,TSK_002_00,Task Foundation - 0,1,Foundation,2023-01-01,2023-01-06,2023-01-07,2023-01-18,Completed,100.0,100.0,5,11,0,,Yes,Low
PRJ_002,TSK_002_01,Task Foundation - 1,2,Foundation,2023-01-01,2023-01-06,2023-01-08,2023-01-21,Completed,100.0,100.0,5,13,0,TSK_002_00,No,High
PRJ_002,TSK_002_02,Task MEP - 2,1,MEP,2023-01-01,2023-01-06,2023-01-04,2023-01-13,Completed,100.0,100.0,5,9,0,TSK_002_01,No,Low
PRJ_002,TSK_002_03,Task Excavation - 3,3,Excavation,2023-01-01,2023-01-06,2023-01-02,2023-01-08,Completed,100.0,100.0,5,6,0,TSK_002_02,Yes,Low
PRJ_002,TSK_002_04,Task Finishing - 4,2,Finishing,2023-01-02,2023-01-07,2022-12-31,2023-01-03,Completed,100.0,100.0,5,3,0,TSK_002_03,Yes,High
PRJ_002,TSK_002_05,Task Finishing - 5,3,Finishing,2023-01-02,2023-01-07,2022-12-31,2023-01-03,Completed,100.0,100.0,5,3,0,TSK_002_04,Yes,Critical
PRJ_002,TSK_002_06,Task Finishing - 6,2,Finishing,2023-01-02,2023-01-07,2023-01-08,2023-01-19,Completed,100.0,100.0,5,11,0,TSK_002_05,Yes,Low
PRJ_002,TSK_002_07,Task Excavation - 7,1,Excavation,2023-01-03,2023-01-08,2023-01-01,2023-01-04,Completed,100.0,100.0,5,3,0,TSK_002_06,No,Low
PRJ_002,TSK_002_08,Task MEP - 8,2,MEP,2023-01-03,2023-01-08,2023-01-08,2023-01-18,Completed,100.0,100.0,5,10,0,TSK_002_07,No,High
PRJ_002,TSK_002_09,Task Excavation - 9,3,Excavation,2023-01-03,2023-01-08,2023-01-01,2023-01-04,Completed,100.0,100.0,5,3,0,TSK_002_08,Yes,Critical
PRJ_002,TSK_002_10,Task Excavation - 10,2,Excavation,2023-01-04,2023-01-09,2023-01-04,2023-01-09,Completed,100.0,100.0,5,5,0,TSK_002_09,No,High
PRJ_002,TSK_002_11,Task Finishing - 11,1,Finishing,2023-01-04,2023-01-09,2023-01-02,2023-01-05,Completed,100.0,100.0,5,3,0,TSK_002_10,Yes,Critical
PRJ_002,TSK_002_12,Task Foundation - 12,1,Foundation,2023-01-04,2023-01-09,2023-01-05,2023-01-11,Completed,100.0,100.0,5,6,0,TSK_002_11,Yes,Critical
PRJ_002,TSK_002_13,Task Finishing - 13,1,Finishing,2023-01-04,2023-01-09,2023-01-02,2023-01-05,Completed,100.0,100.0,5,3,0,TSK_002_12,Yes,Medium
PRJ_002,TSK_002_14,Task MEP - 14,2,MEP,2023-01-05,2023-01-10,2023-01-05,2023-01-10,Completed,100.0,100.0,5,5,0,TSK_002_13,No,Medium
PRJ_002,TSK_002_15,Task MEP - 15,2,MEP,2023-01-05,2023-01-10,2023-01-12,2023-01-25,In Progress,100.0,76.92,5,13,3,TSK_002_14,Yes,High
PRJ_002,TSK_002_16,Task MEP - 16,1,MEP,2023-01-05,2023-01-10,2023-01-10,2023-01-20,Completed,100.0,100.0,5,10,0,TSK_002_15,No,High
PRJ_002,TSK_002_17,Task Excavation - 17,1,Excavation,2023-01-06,2023-01-11,2023-01-13,2023-01-26,In Progress,100.0,69.23,5,13,4,TSK_002_16,No,Low
PRJ_002,TSK_002_18,Task Excavation - 18,1,Excavation,2023-01-06,2023-01-11,2023-01-04,2023-01-07,Completed,100.0,100.0,5,3,0,TSK_002_17,Yes,Critical
PRJ_002,TSK_002_19,Task Foundation - 19,1,Foundation,2023-01-06,2023-01-11,2023-01-04,2023-01-07,Completed,100.0,100.0,5,3,0,TSK_002_18,No,High
PRJ_002,TSK_002_20,Task Excavation - 20,2,Excavation,2023-01-07,2023-01-12,2023-01-05,2023-01-08,Completed,100.0,100.0,5,3,0,TSK_002_19,No,Medium
PRJ_002,TSK_002_21,Task Excavation - 21,2,Excavation,2023-01-07,2023-01-12,2023-01-14,2023-01-27,In Progress,100.0,61.54,5,13,5,TSK_002_20,Yes,Critical
PRJ_002,TSK_002_22,Task MEP - 22,1,MEP,2023-01-07,2023-01-12,2023-01-05,2023-01-08,Completed,100.0,100.0,5,3,0,TSK_002_21,No,High
PRJ_002,TSK_002_23,Task Finishing - 23,1,Finishing,2023-01-07,2023-01-12,2023-01-14,2023-01-27,In Progress,100.0,61.54,5,13,5,TSK_002_22,Yes,Critical
PRJ_002,TSK_002_24,Task Foundation - 24,3,Foundation,2023-01-08,2023-01-13,2023-01-06,2023-01-09,Completed,100.0,100.0,5,3,0,TSK_002_23,Yes,Low
PRJ_002,TSK_002_25,Task Foundation - 25,2,Foundation,2023-01-08,2023-01-13,2023-01-15,2023-01-28,In Progress,100.0,53.85,5,13,6,TSK_002_24,No,Medium
PRJ_002,TSK_002_26,Task MEP - 26,2,MEP,2023-01-08,2023-01-13,2023-01-15,2023-01-28,In Progress,100.0,53.85,5,13,6,TSK_002_25,No,Low
PRJ_002,TSK_002_27,Task Foundation - 27,2,Foundation,2023-01-09,2023-01-14,2023-01-08,2023-01-12,Completed,100.0,100.0,5,4,0,TSK_002_26,Yes,Critical
PRJ_002,TSK_002_28,Task MEP - 28,3,MEP,2023-01-09,2023-01-14,2023-01-10,2023-01-16,Completed,100.0,100.0,5,6,0,TSK_002_27,No,Critical
PRJ_002,TSK_002_29,Task Foundation - 29,3,Foundation,2023-01-09,2023-01-14,2023-01-11,2023-01-19,Completed,100.0,100.0,5,8,0,TSK_002_28,No,Critical
PRJ_002,TSK_002_30,Task MEP - 30,3,MEP,2023-01-10,2023-01-15,2023-01-08,2023-01-11,Completed,100.0,100.0,5,3,0,TSK_002_29,Yes,High
PRJ_002,TSK_002_31,Task MEP - 31,3,MEP,2023-01-10,2023-01-15,2023-01-08,2023-01-11,Completed,100.0,100.0,5,3,0,TSK_002_30,No,Low
PRJ_002,TSK_002_32,Task Foundation - 32,1,Foundation,2023-01-10,2023-01-15,2023-01-08,2023-01-11,Completed,100.0,100.0,5,3,0,TSK_002_31,No,Medium
PRJ_002,TSK_002_33,Task Finishing - 33,2,Finishing,2023-01-10,2023-01-15,2023-01-08,2023-01-11,Completed,100.0,100.0,5,3,0,TSK_002_32,Yes,Critical
PRJ_002,TSK_002_34,Task MEP - 34,2,MEP,2023-01-11,2023-01-16,2023-01-09,2023-01-12,Completed,100.0,100.0,5,3,0,TSK_002_33,No,Medium
PRJ_002,TSK_002_35,Task Finishing - 35,3,Finishing,2023-01-11,2023-01-16,2023-01-14,2023-01-23,In Progress,100.0,88.89,5,9,1,TSK_002_34,Yes,High
PRJ_002,TSK_002_36,Task Foundation - 36,1,Foundation,2023-01-11,2023-01-16,2023-01-09,2023-01-12,Completed,100.0,100.0,5,3,0,TSK_002_35,Yes,Critical
PRJ_002,TSK_002_37,Task Finishing - 37,3,Finishing,2023-01-12,2023-01-17,2023-01-14,2023-01-22,Completed,100.0,100.0,5,8,0,TSK_002_36,Yes,Low
PRJ_002,TSK_002_38,Task MEP - 38,1,MEP,2023-01-12,2023-01-17,2023-01-11,2023-01-15,Completed,100.0,100.0,5,4,0,TSK_002_37,No,Medium
PRJ_002,TSK_002_39,Task MEP - 39,3,MEP,2023-01-12,2023-01-17,2023-01-15,2023-01-24,In Progress,100.0,77.78,5,9,2,TSK_002_38,Yes,High
PRJ_002,TSK_002_40,Task Excavation - 40,3,Excavation,2023-01-13,2023-01-18,2023-01-20,2023-02-02,In Progress,100.0,15.38,5,13,11,TSK_002_39,No,Critical
PRJ_002,TSK_002_41,Task Excavation - 41,3,Excavation,2023-01-13,2023-01-18,2023-01-11,2023-01-14,Completed,100.0,100.0,5,3,0,TSK_002_40,No,Medium
PRJ_002,TSK_002_42,Task Excavation - 42,3,Excavation,2023-01-13,2023-01-18,2023-01-11,2023-01-14,Completed,100.0,100.0,5,3,0,TSK_002_41,Yes,High
PRJ_002,TSK_002_43,Task Foundation - 43,3,Foundation,2023-01-13,2023-01-18,2023-01-12,2023-01-16,Completed,100.0,100.0,5,4,0,TSK_002_42,No,Critical
PRJ_002,TSK_002_44,Task Foundation - 44,1,Foundation,2023-01-14,2023-01-19,2023-01-12,2023-01-15,Completed,100.0,100.0,5,3,0,TSK_002_43,No,Critical
PRJ_002,TSK_002_45,Task Finishing - 45,3,Finishing,2023-01-14,2023-01-19,2023-01-12,2023-01-15,Completed,100.0,100.0,5,3,0,TSK_002_44,Yes,Low
PRJ_002,TSK_002_46,Task MEP - 46,1,MEP,2023-01-14,2023-01-19,2023-01-12,2023-01-15,Completed,100.0,100.0,5,3,0,TSK_002_45,No,Medium
PRJ_002,TSK_002_47,Task MEP - 47,1,MEP,2023-01-15,2023-01-20,2023-01-15,2023-01-20,Completed,100.0,100.0,5,5,0,TSK_002_46,No,High
PRJ_002,TSK_002_48,Task MEP - 48,2,MEP,2023-01-15,2023-01-20,2023-01-13,2023-01-16,Completed,100.0,100.0,5,3,0,TSK_002_47,Yes,Low
