Project ID,Project Name,Project Type,Project Start Date,Planned End Date,Actual End Date,Current Date,Planned Duration (Days),Actual Duration (Days),Current Project Phase,Project Status,Delay Factor
PRJ_051,Construction Project 51,Industrial,2023-01-04,2023-02-03,2023-01-19,2023-01-22,30,15,Handover,Completed,0.5
PRJ_052,Construction Project 52,Industrial,2023-01-04,2023-02-03,2023-01-19,2023-01-22,30,15,Handover,Completed,0.5
PRJ_053,Construction Project 53,Commercial,2023-01-04,2023-02-03,2023-01-19,2023-01-22,30,15,Handover,Completed,0.5
PRJ_054,Construction Project 54,Residential,2023-01-04,2023-02-03,2023-01-19,2023-01-22,30,15,Handover,Completed,0.5
PRJ_055,Construction Project 55,Residential,2023-01-04,2023-02-03,2023-01-19,2023-01-22,30,15,Handover,Completed,0.5
PRJ_056,Construction Project 56,Institutional,2023-01-04,2023-02-03,2023-01-28,2023-01-22,30,24,Handover,Completed,0.8
PRJ_057,Construction Project 57,Residential,2023-01-04,2023-02-03,2023-03-30,2023-01-22,30,85,Handover,Completed,2.833333333333333
PRJ_058,Construction Project 58,Commercial,2023-01-04,2023-02-03,2023-01-19,2023-01-22,30,15,Handover,Completed,0.5
PRJ_059,Construction Project 59,Industrial,2023-01-05,2023-02-04,2023-01-20,2023-01-22,30,15,Handover,Completed,0.5
PRJ_060,Construction Project 60,Institutional,2023-01-05,2023-02-04,2023-01-20,2023-01-22,30,15,Handover,Completed,0.5
PRJ_061,Construction Project 61,Residential,2023-01-05,2023-02-04,2023-04-12,2023-01-22,30,97,Handover,Completed,3.2333333333333334
PRJ_062,Construction Project 62,Commercial,2023-01-05,2023-02-04,2023-03-22,2023-01-22,30,76,Handover,Completed,2.533333333333333
PRJ_063,Construction Project 63,Infrastructure,2023-01-05,2023-02-04,2023-02-26,2023-01-22,30,52,Handover,Completed,1.7333333333333334
PRJ_064,Construction Project 64,Institutional,2023-01-05,2023-02-04,2023-01-20,2023-01-22,30,15,Handover,Completed,0.5
PRJ_065,Construction Project 65,Industrial,2023-01-05,2023-02-04,2023-03-31,2023-01-22,30,85,Handover,Completed,2.833333333333333
PRJ_066,Construction Project 66,Infrastructure,2023-01-05,2023-02-04,2023-01-26,2023-01-22,30,21,Handover,Completed,0.7
PRJ_067,Construction Project 67,Industrial,2023-01-05,2023-02-04,2023-03-19,2023-01-22,30,73,Handover,Completed,2.4333333333333336
PRJ_068,Construction Project 68,Institutional,2023-01-05,2023-02-04,2023-02-23,2023-01-22,30,49,Handover,Completed,1.6333333333333333
PRJ_069,Construction Project 69,Residential,2023-01-05,2023-02-04,2023-04-26,2023-01-22,30,111,Handover,Completed,3.7
PRJ_070,Construction Project 70,Infrastructure,2023-01-05,2023-02-04,2023-01-20,2023-01-22,30,15,Handover,Completed,0.5
PRJ_071,Construction Project 71,Industrial,2023-01-05,2023-02-04,2023-02-19,2023-01-22,30,45,Handover,Completed,1.5
PRJ_072,Construction Project 72,Institutional,2023-01-05,2023-02-04,2023-01-26,2023-01-22,30,21,Handover,Completed,0.7
PRJ_073,Construction Project 73,Institutional,2023-01-06,2023-02-05,2023-02-06,2023-01-22,30,31,Handover,Completed,1.0333333333333334
PRJ_074,Construction Project 74,Commercial,2023-01-06,2023-02-05,2023-01-21,2023-01-22,30,15,Handover,Completed,0.5
PRJ_075,Construction Project 75,Commercial,2023-01-06,2023-02-05,2023-02-17,2023-01-22,30,42,Handover,Completed,1.4
PRJ_076,Construction Project 76,Industrial,2023-01-06,2023-02-05,2023-02-02,2023-01-22,30,27,Handover,Completed,0.9
PRJ_077,Construction Project 77,Commercial,2023-01-06,2023-02-05,2023-01-21,2023-01-22,30,15,Handover,Completed,0.5
PRJ_078,Construction Project 78,Industrial,2023-01-06,2023-02-05,2023-02-06,2023-01-22,30,31,Handover,Completed,1.0333333333333334
PRJ_079,Construction Project 79,Residential,2023-01-06,2023-02-05,2023-01-21,2023-01-22,30,15,Handover,Completed,0.5
PRJ_080,Construction Project 80,Industrial,2023-01-06,2023-02-05,2023-02-24,2023-01-22,30,49,Handover,Completed,1.6333333333333333
PRJ_081,Construction Project 81,Industrial,2023-01-06,2023-02-05,2023-02-24,2023-01-22,30,49,Handover,Completed,1.6333333333333333
PRJ_082,Construction Project 82,Infrastructure,2023-01-06,2023-02-05,2023-01-21,2023-01-22,30,15,Handover,Completed,0.5
PRJ_083,Construction Project 83,Infrastructure,2023-01-06,2023-02-05,2023-02-12,2023-01-22,30,37,Handover,Completed,1.2333333333333334
PRJ_084,Construction Project 84,Commercial,2023-01-06,2023-02-05,2023-02-09,2023-01-22,30,34,Handover,Completed,1.1333333333333333
PRJ_085,Construction Project 85,Industrial,2023-01-06,2023-02-05,2023-01-21,2023-01-22,30,15,Handover,Completed,0.5
PRJ_086,Construction Project 86,Industrial,2023-01-06,2023-02-05,2023-01-21,2023-01-22,30,15,Handover,Completed,0.5
PRJ_087,Construction Project 87,Commercial,2023-01-06,2023-02-05,2023-04-15,2023-01-22,30,99,Handover,Completed,3.3
PRJ_088,Construction Project 88,Infrastructure,2023-01-07,2023-02-06,2023-01-22,2023-01-22,30,15,Handover,Completed,0.5
PRJ_089,Construction Project 89,Infrastructure,2023-01-07,2023-02-06,2023-01-22,2023-01-22,30,15,Handover,Completed,0.5
PRJ_090,Construction Project 90,Infrastructure,2023-01-07,2023-02-06,2023-04-13,2023-01-22,30,96,Handover,Completed,3.2
PRJ_091,Construction Project 91,Residential,2023-01-07,2023-02-06,2023-01-22,2023-01-22,30,15,Handover,Completed,0.5
PRJ_092,Construction Project 92,Commercial,2023-01-07,2023-02-06,2023-02-22,2023-01-22,30,46,Handover,Completed,1.5333333333333332
PRJ_093,Construction Project 93,Industrial,2023-01-07,2023-02-06,2023-01-22,2023-01-22,30,15,Handover,Completed,0.5
PRJ_094,Construction Project 94,Residential,2023-01-07,2023-02-06,2023-05-02,2023-01-22,30,115,Handover,Completed,3.8333333333333335
PRJ_095,Construction Project 95,Infrastructure,2023-01-07,2023-02-06,2023-05-02,2023-01-22,30,115,Handover,Completed,3.8333333333333335
PRJ_096,Construction Project 96,Commercial,2023-01-07,2023-02-06,2023-03-09,2023-01-22,30,61,Handover,Completed,2.033333333333333
PRJ_097,Construction Project 97,Commercial,2023-01-07,2023-02-06,2023-01-27,2023-01-22,30,20,Handover,Completed,0.6666666666666667
PRJ_098,Construction Project 98,Residential,2023-01-07,2023-02-06,2023-03-12,2023-01-22,30,64,Handover,Completed,2.1333333333333333
PRJ_099,Construction Project 99,Commercial,2023-01-07,2023-02-06,2023-01-22,2023-01-22,30,15,Handover,Completed,0.5
PRJ_100,Construction Project 100,Commercial,2023-01-07,2023-02-06,2023-03-02,2023-01-22,30,54,Handover,Completed,1.8
PRJ_101,Construction Project 101,Residential,2023-01-07,2023-02-06,2023-03-20,2023-01-22,30,72,Handover,Completed,2.4
PRJ_102,Construction Project 102,Residential,2023-01-08,2023-02-07,2023-02-04,2023-01-22,30,27,Handover,Completed,0.9
PRJ_103,Construction Project 103,Industrial,2023-01-08,2023-02-07,2023-03-09,2023-01-22,30,60,Handover,Completed,2.0
PRJ_104,Construction Project 104,Residential,2023-01-08,2023-02-07,2023-03-15,2023-01-22,30,66,Handover,Completed,2.2
PRJ_105,Construction Project 105,Institutional,2023-01-08,2023-02-07,2023-01-28,2023-01-22,30,20,Handover,Completed,0.6666666666666667
PRJ_106,Construction Project 106,Infrastructure,2023-01-08,2023-02-07,2023-02-16,2023-01-22,30,39,Handover,Completed,1.3
PRJ_107,Construction Project 107,Institutional,2023-01-08,2023-02-07,2023-01-23,2023-01-22,30,15,Handover,Completed,0.5
PRJ_108,Construction Project 108,Industrial,2023-01-08,2023-02-07,2023-03-19,2023-01-22,30,70,Handover,Completed,2.333333333333333
PRJ_109,Construction Project 109,Residential,2023-01-08,2023-02-07,2023-01-23,2023-01-22,30,15,Handover,Completed,0.5
PRJ_110,Construction Project 110,Residential,2023-01-08,2023-02-07,2023-01-23,2023-01-22,30,15,Handover,Completed,0.5
PRJ_111,Construction Project 111,Infrastructure,2023-01-08,2023-02-07,2023-03-03,2023-01-22,30,54,Handover,Completed,1.8
PRJ_112,Construction Project 112,Infrastructure,2023-01-08,2023-02-07,2023-04-29,2023-01-22,30,111,Handover,Completed,3.7
PRJ_113,Construction Project 113,Commercial,2023-01-08,2023-02-07,2023-01-23,2023-01-22,30,15,Handover,Completed,0.5
PRJ_114,Construction Project 114,Commercial,2023-01-08,2023-02-07,2023-01-23,2023-01-22,30,15,Handover,Completed,0.5
PRJ_115,Construction Project 115,Residential,2023-01-08,2023-02-07,2023-04-11,2023-01-22,30,93,Handover,Completed,3.1
PRJ_116,Construction Project 116,Infrastructure,2023-01-08,2023-02-07,2023-02-22,2023-01-22,30,45,Handover,Completed,1.5
PRJ_117,Construction Project 117,Industrial,2023-01-09,2023-02-08,2023-01-24,2023-01-22,30,15,Handover,Completed,0.5
PRJ_118,Construction Project 118,Industrial,2023-01-09,2023-02-08,2023-01-24,2023-01-22,30,15,Handover,Completed,0.5
PRJ_119,Construction Project 119,Industrial,2023-01-09,2023-02-08,2023-02-08,2023-01-22,30,30,Handover,Completed,1.0
PRJ_120,Construction Project 120,Commercial,2023-01-09,2023-02-08,2023-01-24,2023-01-22,30,15,Handover,Completed,0.5
PRJ_121,Construction Project 121,Commercial,2023-01-09,2023-02-08,2023-02-02,2023-01-22,30,24,Handover,Completed,0.8
PRJ_122,Construction Project 122,Infrastructure,2023-01-09,2023-02-08,2023-01-24,2023-01-22,30,15,Handover,Completed,0.5
PRJ_123,Construction Project 123,Commercial,2023-01-09,2023-02-08,2023-03-22,2023-01-22,30,72,Handover,Completed,2.4
PRJ_124,Construction Project 124,Commercial,2023-01-09,2023-02-08,2023-01-24,2023-01-22,30,15,Handover,Completed,0.5
PRJ_125,Construction Project 125,Residential,2023-01-09,2023-02-08,2023-01-27,2023-01-22,30,18,Handover,Completed,0.6
PRJ_126,Construction Project 126,Institutional,2023-01-09,2023-02-08,2023-04-03,2023-01-22,30,84,Handover,Completed,2.8
PRJ_127,Construction Project 127,Institutional,2023-01-09,2023-02-08,2023-01-24,2023-01-22,30,15,Handover,Completed,0.5
PRJ_128,Construction Project 128,Institutional,2023-01-09,2023-02-08,2023-03-17,2023-01-22,30,67,Handover,Completed,2.2333333333333334
PRJ_129,Construction Project 129,Commercial,2023-01-09,2023-02-08,2023-03-29,2023-01-22,30,79,Handover,Completed,2.6333333333333333
PRJ_130,Construction Project 130,Infrastructure,2023-01-09,2023-02-08,2023-01-24,2023-01-22,30,15,Handover,Completed,0.5
PRJ_131,Construction Project 131,Infrastructure,2023-01-10,2023-02-09,2023-01-25,2023-01-22,30,15,Handover,Completed,0.5
PRJ_132,Construction Project 132,Residential,2023-01-10,2023-02-09,2023-01-28,2023-01-22,30,18,Handover,Completed,0.6
PRJ_133,Construction Project 133,Residential,2023-01-10,2023-02-09,2023-01-25,2023-01-22,30,15,Handover,Completed,0.5
PRJ_134,Construction Project 134,Industrial,2023-01-10,2023-02-09,2023-02-21,2023-01-22,30,42,Handover,Completed,1.4
PRJ_135,Construction Project 135,Institutional,2023-01-10,2023-02-09,2023-01-25,2023-01-22,30,15,Handover,Completed,0.5
PRJ_136,Construction Project 136,Commercial,2023-01-10,2023-02-09,2023-01-28,2023-01-22,30,18,Handover,Completed,0.6
PRJ_137,Construction Project 137,Institutional,2023-01-10,2023-02-09,2023-05-01,2023-01-22,30,111,Handover,Completed,3.7
PRJ_138,Construction Project 138,Industrial,2023-01-10,2023-02-09,2023-03-12,2023-01-22,30,61,Handover,Completed,2.033333333333333
PRJ_139,Construction Project 139,Infrastructure,2023-01-10,2023-02-09,2023-03-11,2023-01-22,30,60,Handover,Completed,2.0
PRJ_140,Construction Project 140,Institutional,2023-01-10,2023-02-09,2023-05-05,2023-01-22,30,115,Handover,Completed,3.8333333333333335
PRJ_141,Construction Project 141,Residential,2023-01-10,2023-02-09,2023-02-10,2023-01-22,30,31,Handover,Completed,1.0333333333333334
PRJ_142,Construction Project 142,Infrastructure,2023-01-10,2023-02-09,2023-04-07,2023-01-22,30,87,Handover,Completed,2.9
PRJ_143,Construction Project 143,Industrial,2023-01-10,2023-02-09,2023-01-25,2023-01-22,30,15,Handover,Completed,0.5
PRJ_144,Construction Project 144,Industrial,2023-01-10,2023-02-09,2023-03-18,2023-01-22,30,67,Handover,Completed,2.2333333333333334
PRJ_145,Construction Project 145,Commercial,2023-01-11,2023-02-10,2023-01-31,2023-01-22,30,20,Handover,Completed,0.6666666666666667
PRJ_146,Construction Project 146,Institutional,2023-01-11,2023-02-10,2023-04-14,2023-01-22,30,93,Handover,Completed,3.1
PRJ_147,Construction Project 147,Infrastructure,2023-01-11,2023-02-10,2023-01-26,2023-01-22,30,15,Handover,Completed,0.5
PRJ_148,Construction Project 148,Commercial,2023-01-11,2023-02-10,2023-01-26,2023-01-22,30,15,Handover,Completed,0.5
PRJ_149,Construction Project 149,Infrastructure,2023-01-11,2023-02-10,2023-02-11,2023-01-22,30,31,Handover,Completed,1.0333333333333334
PRJ_150,Construction Project 150,Residential,2023-01-11,2023-02-10,2023-03-09,2023-01-22,30,57,Handover,Completed,1.9
PRJ_151,Construction Project 151,Industrial,2023-01-11,2023-02-10,2023-01-26,2023-01-22,30,15,Handover,Completed,0.5
PRJ_152,Construction Project 152,Residential,2023-01-11,2023-02-10,2023-03-07,2023-01-22,30,55,Handover,Completed,1.8333333333333335
PRJ_153,Construction Project 153,Residential,2023-01-11,2023-02-10,2023-01-26,2023-01-22,30,15,Handover,Completed,0.5
PRJ_154,Construction Project 154,Industrial,2023-01-11,2023-02-10,2023-01-26,2023-01-22,30,15,Handover,Completed,0.5
PRJ_155,Construction Project 155,Industrial,2023-01-11,2023-02-10,2023-02-16,2023-01-22,30,36,Handover,Completed,1.2
PRJ_156,Construction Project 156,Residential,2023-01-11,2023-02-10,2023-02-28,2023-01-22,30,48,Handover,Completed,1.6
PRJ_157,Construction Project 157,Infrastructure,2023-01-11,2023-02-10,2023-01-26,2023-01-22,30,15,Handover,Completed,0.5
PRJ_158,Construction Project 158,Infrastructure,2023-01-11,2023-02-10,2023-05-06,2023-01-22,30,115,Handover,Completed,3.8333333333333335
PRJ_159,Construction Project 159,Residential,2023-01-11,2023-02-10,2023-05-06,2023-01-22,30,115,Handover,Completed,3.8333333333333335
PRJ_160,Construction Project 160,Residential,2023-01-12,2023-02-11,2023-04-12,2023-01-22,30,90,Handover,Completed,3.0
PRJ_161,Construction Project 161,Institutional,2023-01-12,2023-02-11,2023-04-12,2023-01-22,30,90,Handover,Completed,3.0
PRJ_162,Construction Project 162,Residential,2023-01-12,2023-02-11,2023-02-20,2023-01-22,30,39,Handover,Completed,1.3
PRJ_163,Construction Project 163,Industrial,2023-01-12,2023-02-11,2023-01-27,2023-01-22,30,15,Handover,Completed,0.5
PRJ_164,Construction Project 164,Industrial,2023-01-12,2023-02-11,2023-03-20,2023-01-22,30,67,Handover,Completed,2.2333333333333334
PRJ_165,Construction Project 165,Residential,2023-01-12,2023-02-11,2023-02-26,2023-01-22,30,45,Handover,Completed,1.5
PRJ_166,Construction Project 166,Commercial,2023-01-12,2023-02-11,2023-02-05,2023-01-22,30,24,Handover,Completed,0.8
PRJ_167,Construction Project 167,Industrial,2023-01-12,2023-02-11,2023-01-30,2023-01-22,30,18,Handover,Completed,0.6
PRJ_168,Construction Project 168,Industrial,2023-01-12,2023-02-11,2023-04-01,2023-01-22,30,79,Handover,Completed,2.6333333333333333
PRJ_169,Construction Project 169,Commercial,2023-01-12,2023-02-11,2023-03-13,2023-01-22,30,60,Handover,Completed,2.0
PRJ_170,Construction Project 170,Residential,2023-01-12,2023-02-11,2023-01-27,2023-01-22,30,15,Handover,Completed,0.5
PRJ_171,Construction Project 171,Institutional,2023-01-12,2023-02-11,2023-04-28,2023-01-22,30,106,Handover,Completed,3.533333333333333
PRJ_172,Construction Project 172,Commercial,2023-01-12,2023-02-11,2023-02-24,2023-01-22,30,43,Handover,Completed,1.4333333333333333
PRJ_173,Construction Project 173,Institutional,2023-01-12,2023-02-11,2023-01-29,2023-01-22,30,17,Handover,Completed,0.5666666666666667
PRJ_174,Construction Project 174,Commercial,2023-01-13,2023-02-12,2023-05-08,2023-01-22,30,115,Handover,Completed,3.8333333333333335
PRJ_175,Construction Project 175,Residential,2023-01-13,2023-02-12,2023-03-02,2023-01-22,30,48,Handover,Completed,1.6
PRJ_176,Construction Project 176,Infrastructure,2023-01-13,2023-02-12,2023-03-06,2023-01-22,30,52,Handover,Completed,1.7333333333333334
PRJ_177,Construction Project 177,Commercial,2023-01-13,2023-02-12,2023-01-28,2023-01-22,30,15,Handover,Completed,0.5
PRJ_178,Construction Project 178,Industrial,2023-01-13,2023-02-12,2023-03-12,2023-01-22,30,58,Handover,Completed,1.9333333333333333
PRJ_179,Construction Project 179,Residential,2023-01-13,2023-02-12,2023-03-24,2023-01-22,30,70,Handover,Completed,2.333333333333333
PRJ_180,Construction Project 180,Residential,2023-01-13,2023-02-12,2023-02-24,2023-01-22,30,42,Handover,Completed,1.4
PRJ_181,Construction Project 181,Institutional,2023-01-13,2023-02-12,2023-01-28,2023-01-22,30,15,Handover,Completed,0.5
PRJ_182,Construction Project 182,Commercial,2023-01-13,2023-02-12,2023-02-03,2023-01-22,30,21,Handover,Completed,0.7
PRJ_183,Construction Project 183,Industrial,2023-01-13,2023-02-12,2023-01-28,2023-01-22,30,15,Handover,Completed,0.5
PRJ_184,Construction Project 184,Industrial,2023-01-13,2023-02-12,2023-02-15,2023-01-22,30,33,Handover,Completed,1.1
PRJ_185,Construction Project 185,Residential,2023-01-13,2023-02-12,2023-01-28,2023-01-22,30,15,Handover,Completed,0.5
PRJ_186,Construction Project 186,Residential,2023-01-13,2023-02-12,2023-05-01,2023-01-22,30,108,Handover,Completed,3.6
PRJ_187,Construction Project 187,Institutional,2023-01-13,2023-02-12,2023-03-11,2023-01-22,30,57,Handover,Completed,1.9
PRJ_188,Construction Project 188,Institutional,2023-01-13,2023-02-12,2023-01-28,2023-01-22,30,15,Handover,Completed,0.5
PRJ_189,Construction Project 189,Commercial,2023-01-14,2023-02-13,2023-02-12,2023-01-22,30,29,Handover,Completed,0.9666666666666667
PRJ_190,Construction Project 190,Infrastructure,2023-01-14,2023-02-13,2023-02-12,2023-01-22,30,29,Handover,Completed,0.9666666666666667
PRJ_191,Construction Project 191,Infrastructure,2023-01-14,2023-02-13,2023-02-10,2023-01-22,30,27,Handover,Completed,0.9
PRJ_192,Construction Project 192,Institutional,2023-01-14,2023-02-13,2023-01-29,2023-01-22,30,15,Handover,Completed,0.5
PRJ_193,Construction Project 193,Residential,2023-01-14,2023-02-13,2023-04-20,2023-01-22,30,96,Handover,Completed,3.2
PRJ_194,Construction Project 194,Institutional,2023-01-14,2023-02-13,2023-03-19,2023-01-22,30,64,Handover,Completed,2.1333333333333333
PRJ_195,Construction Project 195,Institutional,2023-01-14,2023-02-13,2023-01-29,2023-01-22,30,15,Handover,Completed,0.5
PRJ_196,Construction Project 196,Infrastructure,2023-01-14,2023-02-13,2023-01-29,2023-01-22,30,15,Handover,Completed,0.5
PRJ_197,Construction Project 197,Residential,2023-01-14,2023-02-13,2023-03-27,2023-01-22,30,72,Handover,Completed,2.4
PRJ_198,Construction Project 198,Industrial,2023-01-14,2023-02-13,2023-03-03,2023-01-22,30,48,Handover,Completed,1.6
PRJ_199,Construction Project 199,Residential,2023-01-14,2023-02-13,2023-02-22,2023-01-22,30,39,Handover,Completed,1.3
PRJ_200,Construction Project 200,Industrial,2023-01-14,2023-02-13,2023-01-29,2023-01-22,30,15,Handover,Completed,0.5
PRJ_201,Construction Project 201,Residential,2023-01-14,2023-02-13,2023-04-24,2023-01-22,30,100,Handover,Completed,3.3333333333333335
PRJ_202,Construction Project 202,Commercial,2023-01-14,2023-02-13,2023-02-23,2023-01-22,30,40,Handover,Completed,1.3333333333333333
PRJ_203,Construction Project 203,Industrial,2023-01-15,2023-02-14,2023-01-30,2023-01-22,30,15,Handover,Completed,0.5
PRJ_204,Construction Project 204,Residential,2023-01-15,2023-02-14,2023-03-04,2023-01-22,30,48,Handover,Completed,1.6
PRJ_205,Construction Project 205,Infrastructure,2023-01-15,2023-02-14,2023-01-30,2023-01-22,30,15,Handover,Completed,0.5
PRJ_206,Construction Project 206,Commercial,2023-01-15,2023-02-14,2023-01-30,2023-01-22,30,15,Handover,Completed,0.5
PRJ_207,Construction Project 207,Residential,2023-01-15,2023-02-14,2023-02-11,2023-01-22,30,27,Handover,Completed,0.9
PRJ_208,Construction Project 208,Institutional,2023-01-15,2023-02-14,2023-04-16,2023-01-22,30,91,Handover,Completed,3.033333333333333
PRJ_209,Construction Project 209,Institutional,2023-01-15,2023-02-14,2023-01-30,2023-01-22,30,15,Handover,Completed,0.5
PRJ_210,Construction Project 210,Residential,2023-01-15,2023-02-14,2023-01-30,2023-01-22,30,15,Handover,Completed,0.5
PRJ_211,Construction Project 211,Residential,2023-01-15,2023-02-14,2023-01-30,2023-01-22,30,15,Handover,Completed,0.5
