Project ID,Report Date,Number of Tasks Completed,Number of Tasks In Progress,Number of Delayed Tasks,Daily Progress Percentage
PRJ_003,2023-01-07,9,11,4,11.24
PRJ_003,2023-01-08,9,15,6,13.37
PRJ_003,2023-01-09,12,18,7,16.32
PRJ_003,2023-01-10,13,19,7,19.67
PRJ_003,2023-01-11,17,19,7,23.13
PRJ_003,2023-01-12,20,19,8,26.8
PRJ_003,2023-01-13,21,20,11,30.19
PRJ_003,2023-01-14,25,20,12,33.82
PRJ_003,2023-01-15,29,18,10,37.08
PRJ_003,2023-01-16,32,19,11,40.27
PRJ_003,2023-01-17,36,17,10,43.68
PRJ_003,2023-01-18,39,15,11,46.53
PRJ_003,2023-01-19,42,15,11,48.85
PRJ_003,2023-01-20,46,13,9,50.66
PRJ_003,2023-01-21,48,16,9,52.38
PRJ_003,2023-01-22,49,18,11,54.69
PRJ_004,2023-01-01,0,6,0,1.0
PRJ_004,2023-01-02,1,6,0,2.78
PRJ_004,2023-01-03,2,7,0,4.57
PRJ_004,2023-01-04,4,7,0,6.68
PRJ_004,2023-01-05,6,7,0,8.67
PRJ_004,2023-01-06,9,9,0,10.5
PRJ_004,2023-01-07,10,12,2,12.34
PRJ_004,2023-01-08,11,15,4,14.79
PRJ_004,2023-01-09,13,17,4,17.82
PRJ_004,2023-01-10,15,17,6,21.26
PRJ_004,2023-01-11,16,20,7,24.71
PRJ_004,2023-01-12,22,17,7,28.79
PRJ_004,2023-01-13,25,17,9,31.86
PRJ_004,2023-01-14,28,17,10,34.68
PRJ_004,2023-01-15,30,16,8,37.31
PRJ_004,2023-01-16,32,17,10,40.05
PRJ_004,2023-01-17,36,17,8,42.83
PRJ_004,2023-01-18,40,17,8,45.83
PRJ_004,2023-01-19,42,18,8,48.71
PRJ_004,2023-01-20,46,19,8,51.47
PRJ_004,2023-01-21,47,21,10,54.48
PRJ_004,2023-01-22,48,23,12,57.77
PRJ_005,2023-01-01,0,3,0,1.67
PRJ_005,2023-01-02,2,5,0,2.67
PRJ_005,2023-01-03,3,6,0,4.12
PRJ_005,2023-01-04,3,6,0,5.9
PRJ_005,2023-01-05,5,7,0,7.68
PRJ_005,2023-01-06,8,4,0,9.59
PRJ_005,2023-01-07,9,5,2,10.58
PRJ_005,2023-01-08,11,9,3,12.04
PRJ_005,2023-01-09,11,11,6,14.0
PRJ_005,2023-01-10,13,13,7,16.39
PRJ_005,2023-01-11,15,14,8,18.67
PRJ_005,2023-01-12,16,15,11,20.84
PRJ_005,2023-01-13,19,19,12,23.27
PRJ_005,2023-01-14,20,21,14,26.33
PRJ_005,2023-01-15,22,22,14,29.56
PRJ_005,2023-01-16,25,23,16,32.92
PRJ_005,2023-01-17,26,24,18,35.84
PRJ_005,2023-01-18,30,25,19,38.84
PRJ_005,2023-01-19,31,24,19,41.85
PRJ_005,2023-01-20,33,27,20,44.77
PRJ_005,2023-01-21,37,26,18,48.35
PRJ_005,2023-01-22,37,32,20,51.98
PRJ_006,2023-01-01,0,6,0,1.67
PRJ_006,2023-01-02,2,8,0,3.53
PRJ_006,2023-01-03,3,7,0,5.93
PRJ_006,2023-01-04,5,7,0,8.0
PRJ_006,2023-01-05,8,6,0,10.07
PRJ_006,2023-01-06,9,6,0,11.53
PRJ_006,2023-01-07,12,8,1,13.05
PRJ_006,2023-01-08,12,13,2,14.55
PRJ_006,2023-01-09,12,15,3,17.02
PRJ_006,2023-01-10,15,16,4,20.03
PRJ_006,2023-01-11,17,16,5,23.3
PRJ_006,2023-01-12,21,16,6,26.44
PRJ_006,2023-01-13,24,15,5,29.76
PRJ_006,2023-01-14,26,13,8,32.79
PRJ_006,2023-01-15,29,18,10,35.28
PRJ_006,2023-01-16,33,17,10,38.04
PRJ_006,2023-01-17,33,20,11,40.71
PRJ_006,2023-01-18,36,18,11,44.13
PRJ_006,2023-01-19,40,18,12,47.25
PRJ_006,2023-01-20,45,20,10,50.25
PRJ_006,2023-01-21,46,21,11,53.6
PRJ_006,2023-01-22,49,22,13,57.04
PRJ_007,2023-01-01,0,5,0,1.0
PRJ_007,2023-01-02,1,5,0,2.4
PRJ_007,2023-01-03,2,6,0,3.8
PRJ_007,2023-01-04,3,7,0,5.26
PRJ_007,2023-01-05,4,9,0,6.86
PRJ_007,2023-01-06,6,12,0,9.13
PRJ_007,2023-01-07,8,11,1,12.15
PRJ_007,2023-01-08,11,13,3,14.69
PRJ_007,2023-01-09,13,14,5,17.09
PRJ_007,2023-01-10,14,16,7,19.55
PRJ_007,2023-01-11,17,19,8,22.35
PRJ_007,2023-01-12,19,21,9,25.77
PRJ_007,2023-01-13,21,22,8,29.34
PRJ_007,2023-01-14,26,18,9,33.42
PRJ_007,2023-01-15,28,19,11,36.36
PRJ_007,2023-01-16,31,18,12,39.11
PRJ_007,2023-01-17,32,20,12,41.45
PRJ_007,2023-01-18,34,20,12,44.52
PRJ_007,2023-01-19,38,19,10,47.66
PRJ_007,2023-01-20,46,14,7,50.56
PRJ_007,2023-01-21,46,19,8,52.27
PRJ_007,2023-01-22,47,21,10,55.24
PRJ_008,2023-01-01,0,3,0,1.0
PRJ_008,2023-01-02,1,3,0,2.0
PRJ_008,2023-01-03,2,5,0,2.83
PRJ_008,2023-01-04,3,8,0,4.12
PRJ_008,2023-01-05,3,12,0,5.82
PRJ_008,2023-01-06,5,13,0,8.63
PRJ_008,2023-01-07,6,12,3,11.69
PRJ_008,2023-01-08,9,11,4,14.42
PRJ_008,2023-01-09,12,12,6,16.98
PRJ_008,2023-01-10,15,15,9,19.46
PRJ_008,2023-01-11,18,15,8,22.54
PRJ_008,2023-01-12,21,14,8,25.31
PRJ_008,2023-01-13,24,14,8,27.79
PRJ_008,2023-01-14,25,18,9,30.24
PRJ_008,2023-01-15,27,19,12,33.29
PRJ_008,2023-01-16,30,19,12,36.45
PRJ_008,2023-01-17,32,21,13,39.43
PRJ_008,2023-01-18,34,21,13,42.83
PRJ_008,2023-01-19,35,22,16,46.39
PRJ_008,2023-01-20,41,24,17,50.29
PRJ_008,2023-01-21,45,24,15,54.3
PRJ_008,2023-01-22,48,23,16,58.08
PRJ_009,2023-01-01,0,5,0,1.67
PRJ_009,2023-01-02,2,6,0,3.2
PRJ_009,2023-01-03,3,8,0,5.07
PRJ_009,2023-01-04,4,10,0,7.47
PRJ_009,2023-01-05,7,9,0,10.4
PRJ_009,2023-01-06,10,9,0,12.78
PRJ_009,2023-01-07,12,10,1,15.29
PRJ_009,2023-01-08,14,11,3,17.91
PRJ_009,2023-01-09,18,11,4,21.0
PRJ_009,2023-01-10,20,11,4,23.58
PRJ_009,2023-01-11,23,12,5,26.15
PRJ_009,2023-01-12,24,14,6,28.71
PRJ_009,2023-01-13,26,16,9,31.67
PRJ_009,2023-01-14,30,14,8,35.04
PRJ_009,2023-01-15,32,13,8,37.59
PRJ_009,2023-01-16,37,10,8,39.81
PRJ_009,2023-01-17,37,12,9,41.25
PRJ_009,2023-01-18,38,16,10,43.1
PRJ_009,2023-01-19,39,18,12,45.89
PRJ_009,2023-01-20,41,21,12,48.96
PRJ_009,2023-01-21,45,19,12,52.3
PRJ_009,2023-01-22,48,18,13,54.84
PRJ_010,2023-01-01,0,5,0,2.67
PRJ_010,2023-01-02,3,4,0,4.33
PRJ_010,2023-01-03,5,2,0,5.5
PRJ_010,2023-01-04,5,7,0,6.0
PRJ_010,2023-01-05,6,10,0,7.7
PRJ_010,2023-01-06,6,11,0,10.0
PRJ_010,2023-01-07,8,10,1,12.64
PRJ_010,2023-01-08,12,12,1,14.73
PRJ_010,2023-01-09,13,15,4,17.04
PRJ_010,2023-01-10,13,17,7,19.83
PRJ_010,2023-01-11,18,15,7,23.05
PRJ_010,2023-01-12,20,21,7,25.74
PRJ_010,2023-01-13,22,22,9,29.22
PRJ_010,2023-01-14,23,23,11,32.64
PRJ_010,2023-01-15,27,22,11,36.2
PRJ_010,2023-01-16,29,22,10,39.98
PRJ_010,2023-01-17,34,21,10,43.99
PRJ_010,2023-01-18,38,22,9,47.38
PRJ_010,2023-01-19,43,18,8,50.86
PRJ_010,2023-01-20,45,18,8,53.56
PRJ_010,2023-01-21,49,18,7,56.59
PRJ_010,2023-01-22,51,21,8,59.89
PRJ_011,2023-01-01,0,6,0,2.33
PRJ_011,2023-01-02,3,6,0,4.33
PRJ_011,2023-01-03,4,6,0,6.17
PRJ_011,2023-01-04,6,6,0,8.0
PRJ_011,2023-01-05,8,8,0,9.7
PRJ_011,2023-01-06,9,7,0,11.64
PRJ_011,2023-01-07,10,10,1,13.24
PRJ_011,2023-01-08,13,11,2,15.54
PRJ_011,2023-01-09,14,14,3,18.21
PRJ_011,2023-01-10,16,12,4,21.52
PRJ_011,2023-01-11,19,11,6,24.17
PRJ_011,2023-01-12,22,13,8,26.04
PRJ_011,2023-01-13,25,13,7,27.63
PRJ_011,2023-01-14,26,15,8,29.58
PRJ_011,2023-01-15,26,21,9,31.97
PRJ_011,2023-01-16,28,22,10,35.69
PRJ_011,2023-01-17,29,27,11,39.51
PRJ_011,2023-01-18,34,24,13,44.43
PRJ_011,2023-01-19,39,23,14,48.55
PRJ_011,2023-01-20,42,21,15,52.41
PRJ_011,2023-01-21,46,19,14,55.81
PRJ_011,2023-01-22,50,19,16,58.6
PRJ_012,2023-01-01,0,8,0,2.67
PRJ_012,2023-01-02,3,6,0,5.25
PRJ_012,2023-01-03,5,4,0,7.17
PRJ_012,2023-01-04,7,3,0,8.42
PRJ_012,2023-01-05,9,5,0,9.2
PRJ_012,2023-01-06,9,7,0,10.3
PRJ_012,2023-01-07,9,8,1,11.86
PRJ_012,2023-01-08,11,11,1,13.76
PRJ_012,2023-01-09,13,12,2,16.57
PRJ_012,2023-01-10,14,14,4,19.44
PRJ_012,2023-01-11,18,12,7,22.73
PRJ_012,2023-01-12,20,14,10,25.27
PRJ_012,2023-01-13,23,15,11,27.89
PRJ_012,2023-01-14,26,15,11,30.27
PRJ_012,2023-01-15,29,16,11,32.59
PRJ_012,2023-01-16,30,20,11,34.89
PRJ_012,2023-01-17,31,19,13,37.93
PRJ_012,2023-01-18,33,21,12,40.63
PRJ_012,2023-01-19,35,20,15,43.67
PRJ_012,2023-01-20,37,21,16,46.17
PRJ_012,2023-01-21,41,22,16,49.12
PRJ_012,2023-01-22,41,27,18,52.01
PRJ_013,2023-01-01,0,5,0,2.0
PRJ_013,2023-01-02,3,3,0,3.67
PRJ_013,2023-01-03,3,4,0,4.67
PRJ_013,2023-01-04,5,3,0,6.0
PRJ_013,2023-01-05,6,3,0,7.0
PRJ_013,2023-01-06,7,4,0,8.0
PRJ_013,2023-01-07,8,3,1,9.33
PRJ_013,2023-01-08,9,7,4,10.33
PRJ_013,2023-01-09,11,10,5,12.17
PRJ_013,2023-01-10,11,14,8,14.36
PRJ_013,2023-01-11,14,15,10,17.38
PRJ_013,2023-01-12,16,17,12,19.87
PRJ_013,2023-01-13,18,19,15,22.27
PRJ_013,2023-01-14,19,21,16,24.94
PRJ_013,2023-01-15,20,22,18,27.77
PRJ_013,2023-01-16,23,24,19,30.68
PRJ_013,2023-01-17,23,28,19,33.74
PRJ_013,2023-01-18,25,29,20,37.69
PRJ_013,2023-01-19,29,28,22,41.97
PRJ_013,2023-01-20,32,30,22,46.03
PRJ_013,2023-01-21,37,29,21,50.22
PRJ_013,2023-01-22,41,27,22,54.09
PRJ_014,2023-01-01,0,4,0,1.33
PRJ_014,2023-01-02,1,5,0,2.67
PRJ_014,2023-01-03,3,4,0,4.33
PRJ_014,2023-01-04,4,5,0,5.67
PRJ_014,2023-01-05,6,3,0,7.2
PRJ_014,2023-01-06,7,5,0,8.07
PRJ_014,2023-01-07,8,6,3,9.47
PRJ_014,2023-01-08,8,10,4,11.07
PRJ_014,2023-01-09,11,12,6,13.23
PRJ_014,2023-01-10,12,14,7,15.6
PRJ_014,2023-01-11,14,16,9,17.88
PRJ_014,2023-01-12,17,17,10,20.71
PRJ_014,2023-01-13,17,18,13,23.41
PRJ_014,2023-01-14,21,20,14,26.19
PRJ_014,2023-01-15,22,23,15,29.12
PRJ_014,2023-01-16,22,27,18,32.79
PRJ_014,2023-01-17,27,26,18,37.54
PRJ_014,2023-01-18,30,27,20,41.79
PRJ_014,2023-01-19,34,26,21,46.11
PRJ_014,2023-01-20,38,25,20,49.72
PRJ_014,2023-01-21,44,25,20,53.18
PRJ_014,2023-01-22,46,27,20,56.81
PRJ_015,2023-01-01,0,3,0,1.33
PRJ_015,2023-01-02,2,4,0,2.33
PRJ_015,2023-01-03,2,8,0,3.67
PRJ_015,2023-01-04,3,10,0,5.9
PRJ_015,2023-01-05,6,11,0,8.8
PRJ_015,2023-01-06,7,11,0,11.81
PRJ_015,2023-01-07,10,12,2,14.59
PRJ_015,2023-01-08,15,10,5,17.06
PRJ_015,2023-01-09,16,12,4,18.88
PRJ_015,2023-01-10,17,12,5,21.27
PRJ_015,2023-01-11,19,14,7,23.66
PRJ_015,2023-01-12,21,14,7,26.56
PRJ_015,2023-01-13,22,15,8,29.18
PRJ_015,2023-01-14,26,14,10,31.91
PRJ_015,2023-01-15,28,16,10,34.27
PRJ_015,2023-01-16,31,17,10,37.03
PRJ_015,2023-01-17,36,15,10,39.6
PRJ_015,2023-01-18,37,17,10,41.73
PRJ_015,2023-01-19,37,21,11,44.18
PRJ_015,2023-01-20,38,22,14,47.48
PRJ_015,2023-01-21,42,23,14,50.98
PRJ_015,2023-01-22,46,25,15,54.48
PRJ_016,2023-01-02,0,5,0,2.0
PRJ_016,2023-01-03,3,5,0,3.53
PRJ_016,2023-01-04,3,7,0,4.93
PRJ_016,2023-01-05,4,10,0,7.0
PRJ_016,2023-01-06,6,9,0,9.93
PRJ_016,2023-01-07,9,9,0,12.53
PRJ_016,2023-01-08,13,7,0,15.27
PRJ_016,2023-01-09,14,7,2,17.33
PRJ_016,2023-01-10,18,5,4,19.4
PRJ_016,2023-01-11,19,7,5,20.42
PRJ_016,2023-01-12,20,10,6,21.59
PRJ_016,2023-01-13,21,11,6,23.51
PRJ_016,2023-01-14,22,11,8,25.43
PRJ_016,2023-01-15,25,14,8,27.35
PRJ_016,2023-01-16,25,16,10,29.49
PRJ_016,2023-01-17,26,19,13,32.3
PRJ_016,2023-01-18,28,23,16,35.13
PRJ_016,2023-01-19,30,24,18,38.33
PRJ_016,2023-01-20,32,26,19,41.48
PRJ_016,2023-01-21,35,25,19,45.18
PRJ_016,2023-01-22,36,27,21,48.49
PRJ_017,2023-01-02,0,5,0,1.67
PRJ_017,2023-01-03,2,5,0,3.33
PRJ_017,2023-01-04,3,5,0,5.0
PRJ_017,2023-01-05,5,6,0,6.67
PRJ_017,2023-01-06,7,7,0,8.4
PRJ_017,2023-01-07,8,6,0,10.33
PRJ_017,2023-01-08,9,7,2,11.93
PRJ_017,2023-01-09,11,8,4,13.87
PRJ_017,2023-01-10,13,10,5,15.49
PRJ_017,2023-01-11,16,10,5,17.53
PRJ_017,2023-01-12,16,13,6,19.09
PRJ_017,2023-01-13,18,15,8,21.3
PRJ_017,2023-01-14,19,16,10,23.78
PRJ_017,2023-01-15,20,18,12,26.48
PRJ_017,2023-01-16,23,18,13,29.58
PRJ_017,2023-01-17,25,20,16,32.3
PRJ_017,2023-01-18,28,20,16,35.44
PRJ_017,2023-01-19,29,20,18,37.94
PRJ_017,2023-01-20,32,22,20,40.44
PRJ_017,2023-01-21,33,26,20,43.31
PRJ_017,2023-01-22,37,23,20,46.97
PRJ_018,2023-01-02,0,6,0,2.67
PRJ_018,2023-01-03,3,6,0,4.67
PRJ_018,2023-01-04,5,5,0,6.67
PRJ_018,2023-01-05,6,7,0,8.33
PRJ_018,2023-01-06,9,9,0,10.36
PRJ_018,2023-01-07,10,10,0,12.67
PRJ_018,2023-01-08,11,11,1,15.14
PRJ_018,2023-01-09,15,11,2,17.94
PRJ_018,2023-01-10,16,13,4,20.7
PRJ_018,2023-01-11,18,13,5,23.88
PRJ_018,2023-01-12,22,13,5,26.8
PRJ_018,2023-01-13,25,12,6,29.73
PRJ_018,2023-01-14,28,13,6,32.24
PRJ_018,2023-01-15,31,13,6,34.81
PRJ_018,2023-01-16,34,13,7,37.38
PRJ_018,2023-01-17,35,15,8,39.7
PRJ_018,2023-01-18,37,15,9,42.29
PRJ_018,2023-01-19,39,14,9,44.62
PRJ_018,2023-01-20,40,18,10,46.76
PRJ_018,2023-01-21,42,19,11,49.75
PRJ_018,2023-01-22,45,19,12,53.07
PRJ_019,2023-01-02,0,4,0,2.0
PRJ_019,2023-01-03,3,4,0,3.25
PRJ_019,2023-01-04,3,6,0,4.5
PRJ_019,2023-01-05,3,7,0,6.21
PRJ_019,2023-01-06,7,7,0,8.08
PRJ_019,2023-01-07,8,6,0,9.82
PRJ_019,2023-01-08,8,10,1,11.22
PRJ_019,2023-01-09,11,11,3,13.64
PRJ_019,2023-01-10,11,12,6,15.98
PRJ_019,2023-01-11,14,14,6,18.65
PRJ_019,2023-01-12,18,15,7,21.27
PRJ_019,2023-01-13,19,15,10,23.79
PRJ_019,2023-01-14,20,20,11,26.17
PRJ_019,2023-01-15,23,21,12,29.48
PRJ_019,2023-01-16,24,25,13,32.95
PRJ_019,2023-01-17,28,26,12,37.43
PRJ_019,2023-01-18,32,25,13,42.02
PRJ_019,2023-01-19,36,23,14,46.39
PRJ_019,2023-01-20,40,20,14,49.97
PRJ_019,2023-01-21,43,22,15,52.85
PRJ_019,2023-01-22,46,25,14,56.25
PRJ_020,2023-01-02,0,6,0,1.03
PRJ_020,2023-01-03,0,10,0,2.68
PRJ_020,2023-01-04,2,9,0,5.2
PRJ_020,2023-01-05,4,12,0,7.38
PRJ_020,2023-01-06,6,13,0,10.05
PRJ_020,2023-01-07,7,15,0,12.84
PRJ_020,2023-01-08,10,12,1,16.11
PRJ_020,2023-01-09,14,12,0,18.59
PRJ_020,2023-01-10,17,12,1,21.14
PRJ_020,2023-01-11,19,12,1,23.66
PRJ_020,2023-01-12,22,11,2,26.12
PRJ_020,2023-01-13,23,12,3,28.09
PRJ_020,2023-01-14,26,14,3,29.95
PRJ_020,2023-01-15,27,17,4,32.3
PRJ_020,2023-01-16,30,19,6,35.39
PRJ_020,2023-01-17,31,23,7,39.13
PRJ_020,2023-01-18,35,22,7,43.3
PRJ_020,2023-01-19,38,21,10,47.2
PRJ_020,2023-01-20,41,21,11,50.69
PRJ_020,2023-01-21,45,19,12,54.25
PRJ_020,2023-01-22,50,18,10,57.23
PRJ_021,2023-01-02,0,5,0,2.0
PRJ_021,2023-01-03,2,5,0,3.67
PRJ_021,2023-01-04,4,5,0,5.17
PRJ_021,2023-01-05,5,6,0,6.53
PRJ_021,2023-01-06,6,7,0,8.23
PRJ_021,2023-01-07,7,9,0,10.1
PRJ_021,2023-01-08,9,8,2,12.34
PRJ_021,2023-01-09,12,8,2,14.25
PRJ_021,2023-01-10,13,11,3,15.97
PRJ_021,2023-01-11,15,11,6,18.35
PRJ_021,2023-01-12,17,12,7,20.81
PRJ_021,2023-01-13,19,17,8,23.52
PRJ_021,2023-01-14,22,16,10,26.77
PRJ_021,2023-01-15,25,22,11,29.29
PRJ_021,2023-01-16,26,22,13,32.68
PRJ_021,2023-01-17,27,24,15,36.07
PRJ_021,2023-01-18,30,23,16,39.81
PRJ_021,2023-01-19,34,21,14,42.97
PRJ_021,2023-01-20,37,21,15,45.73
PRJ_021,2023-01-21,37,25,15,48.44
PRJ_021,2023-01-22,41,22,15,52.09
PRJ_022,2023-01-02,0,6,0,1.17
PRJ_022,2023-01-03,0,9,0,2.87
PRJ_022,2023-01-04,2,7,0,5.48
PRJ_022,2023-01-05,5,7,0,7.43
PRJ_022,2023-01-06,7,6,0,9.33
PRJ_022,2023-01-07,9,4,0,10.9
PRJ_022,2023-01-08,10,7,1,12.02
PRJ_022,2023-01-09,12,10,2,13.59
PRJ_022,2023-01-10,13,12,3,15.88
PRJ_022,2023-01-11,14,16,4,18.37
PRJ_022,2023-01-12,17,19,6,21.65
PRJ_022,2023-01-13,18,19,8,25.22
PRJ_022,2023-01-14,22,18,9,28.93
PRJ_022,2023-01-15,27,13,11,32.34
PRJ_022,2023-01-16,28,15,12,34.31
PRJ_022,2023-01-17,30,15,13,36.44
PRJ_022,2023-01-18,31,19,14,38.36
PRJ_022,2023-01-19,34,20,13,41.41
PRJ_022,2023-01-20,36,22,13,44.43
PRJ_022,2023-01-21,40,22,14,48.08
PRJ_022,2023-01-22,41,25,14,51.83
PRJ_023,2023-01-02,0,2,0,0.83
PRJ_023,2023-01-03,0,5,0,1.42
PRJ_023,2023-01-04,2,4,0,2.87
PRJ_023,2023-01-05,2,6,0,4.07
PRJ_023,2023-01-06,4,6,0,5.74
PRJ_023,2023-01-07,5,9,0,7.23
PRJ_023,2023-01-08,7,12,3,9.16
PRJ_023,2023-01-09,8,16,4,11.85
PRJ_023,2023-01-10,9,16,7,15.13
PRJ_023,2023-01-11,12,17,9,18.42
PRJ_023,2023-01-12,16,18,10,21.55
PRJ_023,2023-01-13,19,18,10,24.74
PRJ_023,2023-01-14,22,18,11,27.9
PRJ_023,2023-01-15,24,19,13,30.87
PRJ_023,2023-01-16,25,21,13,33.92
PRJ_023,2023-01-17,29,17,14,37.06
PRJ_023,2023-01-18,32,18,14,39.31
PRJ_023,2023-01-19,34,21,14,41.48
PRJ_023,2023-01-20,35,26,14,44.4
PRJ_023,2023-01-21,38,26,14,48.69
PRJ_023,2023-01-22,42,23,13,53.33
PRJ_024,2023-01-02,0,6,0,1.33
PRJ_024,2023-01-03,1,5,0,3.07
PRJ_024,2023-01-04,3,5,0,4.47
PRJ_024,2023-01-05,4,9,0,5.87
PRJ_024,2023-01-06,4,11,0,8.11
PRJ_024,2023-01-07,8,9,0,11.02
PRJ_024,2023-01-08,10,11,1,13.31
PRJ_024,2023-01-09,12,13,2,15.87
PRJ_024,2023-01-10,15,13,4,18.63
PRJ_024,2023-01-11,17,13,6,21.58
PRJ_024,2023-01-12,19,16,7,24.32
PRJ_024,2023-01-13,21,15,8,27.55
PRJ_024,2023-01-14,25,13,8,30.45
PRJ_024,2023-01-15,28,16,10,33.07
PRJ_024,2023-01-16,30,16,10,35.73
PRJ_024,2023-01-17,31,15,11,38.36
PRJ_024,2023-01-18,36,15,10,40.66
PRJ_024,2023-01-19,39,17,10,42.91
PRJ_024,2023-01-20,39,21,11,45.5
PRJ_024,2023-01-21,41,25,12,48.99
PRJ_024,2023-01-22,43,25,14,52.87
PRJ_025,2023-01-02,0,8,0,2.67
PRJ_025,2023-01-03,3,6,0,5.33
PRJ_025,2023-01-04,5,7,0,7.2
PRJ_025,2023-01-05,8,6,0,9.32
PRJ_025,2023-01-06,8,10,0,11.1
PRJ_025,2023-01-07,10,10,0,14.22
PRJ_025,2023-01-08,14,7,1,16.93
PRJ_025,2023-01-09,18,7,1,18.64
PRJ_025,2023-01-10,18,11,1,20.36
PRJ_025,2023-01-11,18,12,4,23.07
PRJ_025,2023-01-12,22,13,5,26.11
PRJ_025,2023-01-13,25,14,5,28.77
PRJ_025,2023-01-14,26,14,5,31.55
PRJ_025,2023-01-15,28,17,8,34.33
PRJ_025,2023-01-16,32,14,9,37.58
PRJ_025,2023-01-17,35,15,7,39.9
PRJ_025,2023-01-18,38,13,8,42.63
PRJ_025,2023-01-19,38,16,9,44.82
PRJ_025,2023-01-20,42,16,10,47.52
PRJ_025,2023-01-21,44,15,9,49.95
PRJ_025,2023-01-22,46,14,11,52.21
PRJ_026,2023-01-02,0,5,0,2.67
PRJ_026,2023-01-03,4,2,0,4.33
PRJ_026,2023-01-04,4,4,0,5.0
PRJ_026,2023-01-05,5,4,0,6.2
PRJ_026,2023-01-06,6,8,0,7.4
PRJ_026,2023-01-07,7,10,0,9.72
PRJ_026,2023-01-08,8,12,0,12.49
PRJ_026,2023-01-09,12,9,3,15.8
PRJ_026,2023-01-10,15,12,4,18.24
PRJ_026,2023-01-11,18,12,7,20.78
PRJ_026,2023-01-12,19,14,8,23.19
PRJ_026,2023-01-13,22,15,9,25.75
PRJ_026,2023-01-14,24,16,9,28.52
PRJ_026,2023-01-15,26,16,9,31.29
PRJ_026,2023-01-16,29,15,10,33.95
PRJ_026,2023-01-17,30,17,13,36.02
PRJ_026,2023-01-18,30,22,14,38.24
PRJ_026,2023-01-19,34,22,14,41.28
PRJ_026,2023-01-20,34,24,16,44.42
PRJ_026,2023-01-21,35,31,16,47.96
PRJ_026,2023-01-22,40,27,16,52.81
PRJ_027,2023-01-02,0,6,0,1.0
PRJ_027,2023-01-03,1,6,0,2.73
PRJ_027,2023-01-04,2,8,0,4.47
PRJ_027,2023-01-05,4,7,0,6.73
PRJ_027,2023-01-06,5,7,0,8.67
PRJ_027,2023-01-07,9,6,0,10.6
PRJ_027,2023-01-08,10,6,1,12.47
PRJ_027,2023-01-09,12,8,3,14.33
PRJ_027,2023-01-10,15,9,3,16.74
PRJ_027,2023-01-11,16,12,6,18.84
PRJ_027,2023-01-12,19,14,7,21.44
PRJ_027,2023-01-13,20,15,9,24.02
PRJ_027,2023-01-14,22,16,12,26.68
PRJ_027,2023-01-15,25,17,12,29.16
PRJ_027,2023-01-16,26,18,13,31.6
PRJ_027,2023-01-17,27,17,14,34.37
PRJ_027,2023-01-18,29,17,16,36.8
